source_mae,source_rmse,target_mae,target_rmse,trans_target_mae,trans_target_rmse
18072874.179185633,29378809.204265952,129625694.10919961,558758495.8388025,43928608.517649814,67420355.23224877
18286566.80814379,29051216.208764095,79642711.2865346,296065132.89601713,42979472.324427284,67378760.49911329
17470254.53240526,28634740.030054234,69451675.58978966,184624425.59335852,45168713.66885297,69429350.94736846
16259055.396919906,26948769.24770496,96555286.4477459,407810535.756473,43109330.48131575,65345336.222607635
17846255.039479945,28538187.222496845,123489126.58534123,713101212.605932,41517819.84391418,65668823.749956235
15243078.133708978,24771021.57657527,106589978.65559295,395850005.0952603,45055125.42099976,70193239.77765389
18003150.906369936,29691840.430803947,75650641.09994525,198058001.46110505,44871497.359618865,67503802.90940885
17563626.300016686,28838041.509570938,77945800.32836482,230311554.95502576,44601843.82332818,68802968.46780004
18332913.89958428,30322612.68391445,71782870.90016004,172721415.02464047,44407069.60138499,66166551.104650736
17061982.401340924,27392891.51728711,139736550.47823668,675906792.1995822,44894481.67220011,68029143.12446837
16291655.033273542,26466585.484135132,84039314.64533196,305739415.43449444,45013913.199841484,68713740.71756263
16889647.568429403,27792818.568292256,93694090.46095484,389037376.77064586,45698374.6652174,70259306.76611584
18005840.680575486,29775024.085456207,79821509.9130168,323960032.44052535,44026813.56463456,69749659.77730833
16106370.156718306,25927812.343295593,70199531.35334824,186575553.02164108,44474554.75400529,67665407.70988859
18214328.446024355,29617326.2290375,59777724.31967557,123319292.6604561,44232705.80662543,68525416.61396064
17142756.47747439,27932104.98523738,188944733.26855084,1435250549.0684233,43039781.14155975,65922228.85074333
16429766.589250013,27544451.960091848,72900616.75378288,251049770.69767392,41229214.03613022,65237475.22555402
15993634.130055081,26128983.940414004,84385289.70968767,206544838.22121888,43247358.33163545,67853997.92498487
17723850.623619866,27788193.043498896,102727166.90128447,279696026.8565528,43993718.34881334,69389260.96022373
18406201.056045864,29763295.5608348,169793139.89613268,1160158090.6378424,43062641.94968524,65320978.972049035
17228188.83055904,27984830.460321132,83929728.90994972,249031872.97544512,40854668.61672103,64940926.71624136
16318847.470859298,26620467.577347405,70397114.78156589,171590436.67912582,45107766.85669495,69354962.98941568
16881966.57083275,27683726.455565777,67312264.36270604,121947891.40059833,43302090.46229412,67675780.6886545
18156004.21100276,29723042.475352824,80238374.66434704,250339210.07392564,46146181.203386076,70441546.19026046
16106719.166918926,25581256.593813065,83017806.42212318,207117832.83046946,45554050.1659573,71098934.20492063
18030916.54205889,29321233.031193335,70416288.83242448,149929525.53016776,46034409.00865123,69514693.23718354
18237893.35306338,29759224.83673234,83346619.12921518,253382536.37103844,43768409.60835169,67984450.46599743
18030054.58495505,28759277.065178238,68565623.30670252,154755447.13935524,42009226.82368121,65941561.52424794
18014683.137905948,28910762.82875793,83534530.39350466,238742657.69173372,46973180.933715455,69967408.14619589
17153928.243783485,27749359.4670807,125087054.53235501,714079207.9930418,45592034.82082,68305326.02152345
18007037.272838585,29414920.732629232,81200962.74975471,239398505.18414763,43042005.250940114,66982859.96040563
18004406.33143418,29396609.767024893,61099123.88971434,112028140.24771819,44201518.63380645,68803227.5948345
16894894.582494255,26807061.885835532,77750045.20937656,227648789.37376985,45767458.0659022,70583448.80007616
15963788.615426447,25168289.369847592,76913279.043148,162948017.92251948,46195302.40427097,70091571.13212554
18299132.52377195,30110107.988362536,82138727.62983818,305097806.5992472,43057700.71580627,65091603.281014815
17409158.969967745,28484259.868310858,73541914.11451219,166612711.27014002,44633089.1017811,69723763.81474285
17736621.62408806,28990209.2973651,113660832.99386548,554646332.5034659,45617867.210317545,70272708.19140145
16907303.916966625,28188533.14127533,98955967.89878307,415843027.251324,46453998.13378833,68952133.11487015
17592898.46569562,28519908.0407571,72770220.41579653,220147735.36332446,44784576.61419964,68842051.09699753
17850544.814743698,28943719.80660071,106587074.02752417,519591603.1645413,42822155.183958516,68574295.14102246
16994318.744356833,27229841.054666553,73959034.90030622,202345347.6879053,45486953.30876616,69096760.19614027
