target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
39529862.12020683,54572383.20903444,43574376.97099941,57550751.65290099,41686843.53858663,55707602.042363875
34624817.002390176,52349853.622550905,40516523.59359595,59933491.11834938,39967997.36138183,58845470.967315115
43853732.16664987,61455535.560720325,48420855.85893747,65067998.114633165,46420092.1964061,63119395.255529046
37390156.8765843,56520772.84458741,38450031.49936144,51173033.815524384,35392213.284592584,49191824.79792473
26450806.982570674,37025072.733619586,32557399.565333538,51616877.412549905,31652952.861723326,51046613.80919808
31430508.532361273,44336736.54135727,38075480.215627454,53202116.99815885,36350147.443410456,51986852.81366455
35677717.633633696,51077577.24232737,32318561.9547432,42178184.19119346,32881614.792085763,42541953.00379057
48750209.39670184,64534964.83362754,42923636.266563915,51962956.94690903,40909677.23071993,50731580.23806617
39385399.12790532,50451323.14359963,40286965.04290602,61842588.52551977,39771656.59735787,60940442.985513225
45285906.31153659,64527030.58594138,40975006.952964984,56249325.03704649,40924963.066746995,55432975.32990543
40541525.29745167,56920941.79321816,43923872.32978795,61729930.53736761,41943172.12559565,59946248.70423528
34903442.92490309,52666664.142441586,37035043.00298361,52861563.620796785,35710271.70529066,51430598.12489517
27571412.478257634,38320738.40449887,37489787.26644505,55591484.422210015,36100220.613881506,54833001.810192704
24989019.56811161,36551717.064256385,38591556.79042553,68145969.46979393,37110759.86137662,67156496.66778049
42299469.337275155,59727719.54440794,47104742.93325308,60108028.84505008,45100106.49445833,59572557.243688315
29570093.291499842,47485521.46708467,41672329.34241351,60598555.63270054,40558161.887911834,59661802.04854884
39033678.79012714,51730107.277578756,39584396.68887892,52480634.16279557,38901311.828690894,52807291.07243844
26380125.788308583,35065832.58284606,31823805.255089477,42417752.76057485,30739734.075621143,42930553.38890425
34992452.57165764,47171131.14045451,40939172.86843107,59655201.450791866,39296705.76986706,58276283.48695249
40353909.223335735,54822995.3110702,36534991.90320002,45118200.211930305,35789091.17491633,43411209.44964805
32728962.134306874,45801174.33897409,31406105.426382028,44497248.540994905,30138495.15377666,41443444.57361522
38141394.08702776,53974851.14631466,37834126.613360666,46828780.09482426,37976941.26866408,46733392.76342478
33668133.473450236,46231480.95728124,31588036.664263982,40086165.125289254,30903015.549639896,39924156.28368929
40426883.436330445,56678533.17083167,45380400.031434365,62600559.53100752,44123788.17882059,61360516.98344235
31773339.004786175,46290494.01190762,40125412.66628589,63773670.29709564,38808811.88224913,63386286.459416084
37758934.87280877,54426942.76358723,36734018.58139116,48880829.345539235,35143230.44648222,46284585.675033
31448610.97284289,46896012.537138216,40494520.49819019,55558991.361511454,38679115.19646865,53175562.47167692
37618085.92630384,55910166.53634733,34983073.28374314,49237589.05254214,34642929.580136925,48559935.584334254
