target_mae,target_mse,target_rmse,source_mae,source_mse,source_rmse,trans_source_mae,trans_source_mse,trans_source_rmse
1.192,2.474,1.5728954192825408,1.578,4.25,2.0615528128088303,1.404,3.324,1.8231840280125318
0.026,0.026,0.161245154965971,1.703,5.253,2.291942407653386,1.703,5.253,2.291942407653386
0.612,1.106,1.0516653460107925,0.812,1.892,1.375499909123952,0.843,2.113,1.4536161804272818
0.938,1.728,1.3145341380123987,1.0,1.0,1.0,1.002,1.006,1.0029955134495867
0.879,1.713,1.308816259067712,1.765,5.137,2.266495091545534,1.7,4.954,2.225758297749331
1.193,2.503,1.5820872289478858,1.614,3.276,1.8099723754798027,1.684,3.52,1.876166303929372
1.504,4.036,2.008979840615629,2.562,7.956,2.820638225650358,2.401,6.907,2.6281171967779517
0.303,0.381,0.6172519744804386,0.597,1.381,1.1751595636338072,0.623,1.477,1.2153188881935473
0.609,1.005,1.002496882788171,0.933,1.783,1.3352902306240393,0.865,1.579,1.2565826673959815
0.287,0.505,0.7106335201775947,1.777,5.259,2.2932509675131505,1.837,5.587,2.363683565962246
0.635,0.991,0.9954898291795853,5.121,31.549,5.61684965082741,5.121,31.549,5.61684965082741
0.999,2.107,1.4515508947329405,1.156,2.164,1.4710540438746633,0.874,1.308,1.1436782764396638
0.904,1.61,1.2688577540449522,1.303,2.915,1.7073371078963873,1.138,2.176,1.475127113166862
0.805,1.955,1.3982131454109563,2.561,9.283,3.0468016016800306,2.57,9.316,3.0522123124055445
0.66,1.162,1.0779610382569491,1.07,2.256,1.501998668441487,1.07,2.256,1.501998668441487
0.729,1.141,1.0681760154581266,1.45,3.808,1.9514097468240748,1.451,3.797,1.9485892332659545
1.321,3.171,1.7807301873108121,1.941,5.633,2.3733941939762135,1.832,5.008,2.2378561169118982
0.012,0.03,0.17320508075688773,1.262,2.884,1.6982343772283024,1.262,2.884,1.6982343772283024
0.78,1.292,1.1366617790706257,3.557,16.987,4.121528842553452,4.306,22.874,4.7826770746099925
1.638,4.88,2.209072203437452,2.501,7.411,2.7223151911562335,2.61,8.282,2.877846417027844
0.731,1.251,1.1184811129384349,3.619,17.041,4.128074611728814,3.634,17.146,4.140772874717955
0.015,0.041,0.2024845673131659,3.989,20.055,4.478280920174615,3.989,20.055,4.478280920174615
1.538,4.078,2.0194058532152472,3.012,10.496,3.239753077010654,3.017,10.541,3.2466906227726717
1.025,1.957,1.3989281611290838,3.196,14.8,3.847076812334269,3.172,14.548,3.8141840542899867
0.571,0.889,0.9428679653058534,2.368,8.186,2.861118662341707,2.368,8.186,2.861118662341707
1.887,6.083,2.4663738564945907,3.497,13.977,3.738582619121851,3.68,13.886,3.726392357227027
0.752,1.144,1.069579356569675,0.81,1.082,1.0401922899156675,0.766,0.986,0.9929753269845127
0.274,0.448,0.6693280212272604,1.516,3.852,1.962651268055535,1.497,3.789,1.9465353837010002
0.962,1.952,1.3971399357258385,1.256,1.97,1.40356688476182,0.891,0.893,0.944986772394196
0.013,0.029,0.17029386365926402,1.632,4.556,2.134478859112922,1.632,4.556,2.134478859112922
0.756,1.364,1.1679041056525146,1.17,2.756,1.6601204775557705,1.454,3.76,1.9390719429665315
1.072,2.082,1.4429137188342205,1.433,3.609,1.8997368238785077,1.403,3.445,1.8560711193270585
0.828,1.424,1.1933147112141038,1.608,4.89,2.211334438749598,1.511,4.327,2.080144225768973
1.449,3.705,1.9248376554920157,2.121,5.419,2.327874567067564,2.097,5.315,2.305428376679701
1.792,5.642,2.375289456045305,3.187,13.623,3.690934840931224,2.601,9.869,3.141496458696078
0.024,0.034,0.18439088914585774,1.761,4.837,2.199318076131781,1.761,4.837,2.199318076131781
1.267,2.747,1.657407614318216,2.315,6.543,2.557928849675065,2.315,6.543,2.557928849675065
