target_mae,target_mse,target_rmse,aug_target_mae,aug_target_mse,aug_target_rmse
42.67922027015525,2327.5514797692517,48.24470416293639,23.50312412129764,867.1788798874236,29.447901111750284
39.97484156251904,2127.457171765277,46.12436635624686,21.07430284683081,750.1320181495714,27.388538079816737
41.67634718644703,2299.4842692521647,47.95293806694398,22.800291410150397,857.2379592578259,29.278626321223232
41.68015010476249,2190.904000995099,46.8070934901442,22.93160680176677,861.7822900707026,29.356128662865316
40.687797062817936,2019.709404433797,44.94117715896856,24.627376582787164,1011.630257313436,31.806135529382313
41.22420631945145,2191.387890050727,46.81226217617267,23.088930847001635,853.9212489995683,29.221930959462078
41.7445945627482,2149.2593700537614,46.360105371469565,25.23288597227588,991.1395289481281,31.482368540948887
39.166191116868376,1893.221393466921,43.51116400956105,23.01249034004155,838.017504216075,28.948531987236848
41.93089786047308,2319.5036914716156,48.1612260171148,22.749385814274273,822.2375711964974,28.674685197862196
40.88247157357222,2167.119838606358,46.55233440555219,22.143474634556974,843.9465642003686,29.050758410071992
