label_code,trans_target_f1,target_f1,delta_f1,trans_target_accuracy,delta_accuracy,div_score,w_dist,log_w_dist,inverse_div_score,sqrt_w_dist,inverse_log_w_dist
008.45,0.6288569378371913,,0.024566933547186975,0.635,0.010000000000000009,113.460863112414,8.874651201355812e-09,-18.54006680361293,0.008813611782674582,9.420536715790566e-05,-0.05393723823072356
041.11,0.6055944055944057,,0.032703911457052315,0.61,0.03500000000000003,149.2946000083034,9.031745944587753e-09,-18.522520138861825,0.006698165907838478,9.503549833924033e-05,-0.05398833379599976
042,0.5312861235362115,,0.031296269022484724,0.5325,0.02499999999999991,165.4619451556784,8.794777961976985e-09,-18.54910770501338,0.006043685749367498,9.378047750985802e-05,-0.05391094902800763
038.11,0.6632388706778048,,-0.013764334450400262,0.67,-0.019999999999999907,120.51872602837287,9.153574878873975e-09,-18.50912133681654,0.008297465737935009,9.56743167149574e-05,-0.05402741609407992
038.9,0.7149928748218706,,-0.020360660531664854,0.725,-0.020000000000000018,99.83424717140292,9.11808809251142e-09,-18.513005693816503,0.010016602802474435,9.548868044177499e-05,-0.054016080183781734
041.04,0.6533658390964725,,0.04467018692255942,0.655,0.022499999999999964,139.858625978429,9.150840599807852e-09,-18.509420093047204,0.007150077394255499,9.566002613321749e-05,-0.05402654405016371
112.0,0.5492227979274611,,0.028814634662154948,0.565,0.022499999999999964,137.0349319217852,9.418360131917715e-09,-18.480604847172998,0.007297409397559781,9.704823610925504e-05,-0.05411078307607293
070.54,0.5445285366232958,,0.009932611558343019,0.5525,0.03249999999999997,155.6170586397855,8.805157442079238e-09,-18.547928214172387,0.006426030724014322,9.3835800428617e-05,-0.05391437730688997
070.70,0.545004500450045,,0.014444383683031692,0.5575000000000001,0.030000000000000027,162.69492036087968,8.716304436009891e-09,-18.558070492065358,0.0061464733980745225,9.33611505713693e-05,-0.05388491225030951
250.00,0.5792156862745097,,0.026366097555355683,0.575,-0.0050000000000000044,119.74029322154067,8.622010778720844e-09,-18.568947510480655,0.00835140764312163,9.285478328401205e-05,-0.0538533484159822
250.02,0.5918367346938774,,0.009353741496598511,0.6,0.0050000000000000044,129.72370065110914,8.938722909240639e-09,-18.532873109280573,0.00770869158820478,9.454481957907921e-05,-0.053958174434337286
263.9,0.5979998484733692,,0.03405367485048205,0.605,0.020000000000000018,128.9545961448784,9.1626965079425e-09,-18.508125322984906,0.007754667378249289,9.572197505245334e-05,-0.05403032357675459
