source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
307485.69989620044,181269375884.10892,425757.4143618745,676093.8920586878,854400592824.8615,924337.921338761,430447.1465160705,378446895975.9863,615180.3767806531,63985374.398443915,36.243891261124645,0.254114925480315,1.0,0.23478426082052425
317076.39082364755,223288833980.76743,472534.479144927,622034.4299157521,591433961550.5585,769047.4377764732,425302.66421952395,285918228432.42303,534713.2207383908,54008672.030814685,34.99396449176262,0.26536112738326123,1.0,0.216640070431298
252930.69073109972,125313137437.45836,353995.95680947875,726868.4326823113,1057945038695.8555,1028564.5525176607,543381.5519744713,653508196296.3414,808398.5380345151,70072416.5933636,39.01292027253204,0.23115638089913043,1.0,0.282219077956276
329464.4311232692,168164468673.6045,410078.61279711296,735346.8922181162,898212466632.3916,947740.7169856066,445521.8477865039,330394643854.05725,574799.6554053049,66515778.85556555,38.52288922873968,0.2382748927198112,1.0,0.28776684129616714
328857.414502087,192775591602.0952,439062.1728207694,703925.6102698763,991739330108.8082,995861.0998070003,528969.262286875,767209308891.1344,875904.8515056497,67561952.14696944,39.823477172750444,0.2274806561558823,1.0,0.23461419287847388
423454.6943092829,440248302248.7357,663512.0965353501,822791.6883471841,1074337594343.2861,1036502.5780688083,495915.13934433094,389536761656.72266,624128.8021368047,76124989.36678465,38.947090554841985,0.23583343066821943,1.0,0.3137928366535686
304601.5802096855,173768449428.97928,416855.429890243,827944.8529760174,1184868955170.8582,1088516.8603061957,462024.2378369256,377920066935.88885,614752.0369513946,77965027.77158941,36.55595028900247,0.2551766171339125,1.0,0.24297929759986456
265108.282129629,117611874770.3395,342945.8773193512,736236.9214572528,1031395183694.0923,1015576.281573222,507605.92304041935,631682796594.4672,794784.7485920116,70380698.46215953,38.27522758176474,0.24133246684793203,1.0,0.258812772539559
320240.2156845181,192272207172.67157,438488.5485080216,796805.0094289249,1191496401215.9465,1091556.8703535087,535168.1439214569,673577034203.4739,820717.3899726226,72607377.7137232,37.44601890293419,0.2472782342183189,1.0,0.2572746523314463
253270.49338361723,127682294175.1732,357326.59315418045,743979.4224895489,985675778379.1495,992812.0559195228,448927.4097409241,351629620461.9823,592983.6595235844,71950152.10559356,36.11263237597594,0.25593773999309094,1.0,0.3295730387261724
