source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
253628.8723410435,102759222500.0275,320560.7937662176,772830.3848230562,1717780855126.7236,1310641.3907422288,644267.8427388254,1481706326256.4077,1217253.5998124662,74693668.18721196,32.2072159969004,0.2882736236740471,1.0,0.24701972111432888
257118.21558938143,142421268222.72202,377387.42456886667,904793.6797663326,3108166720241.9336,1762999.3534434247,600379.0376209717,2044353544998.6328,1429808.9190512951,89342223.61502905,32.87017459145343,0.281245174116279,1.0,0.2879896628654581
267465.1180406182,120456862578.12038,347068.95939873444,928215.2483320938,2930902553738.18,1711987.8953246663,773956.2333459212,2871381626571.208,1694515.1597348452,92704035.7078425,33.634326388750175,0.2741408067763849,1.0,0.3577089154721568
205770.9685195582,90415168594.41145,300691.1515066771,667441.2701728367,935430281668.7856,967176.4480531904,503419.4009710505,785919923033.086,886521.247930971,63686396.431718335,30.29536197258205,0.3047410513440466,1.0,0.239784799872309
228035.08827516658,107415253485.1998,327742.66351087065,645482.6361998373,1007144491508.9379,1003565.8879759405,566600.2274578488,1068870372884.9738,1033861.873213716,63959434.0585967,31.847730464873884,0.2903419853252341,1.0,0.2799767306066866
290089.8252994931,220490383360.03357,469564.0354201262,755930.6856031156,1287569455012.7444,1134711.1769136428,583836.9817968891,1049884663152.17,1024638.7964312937,74282662.45006718,29.532081950008152,0.3084462802910055,1.0,0.310946473846526
289023.7405795256,226725713324.70233,476157.2359260146,1032024.9540324473,2435499090119.291,1560608.5640285623,638904.2047267029,1763375799132.239,1327921.608805369,97461413.27521294,32.850260960061924,0.2840920144794736,1.0,0.3765015641038468
326069.89943855145,252523115521.03555,502516.7813327586,887647.986738461,1998550911934.8691,1413701.1395393545,601210.0113308851,1463302848564.6138,1209670.55373131,84976980.18354425,30.86464952228233,0.2940586593540824,1.0,0.43202499768381164
220777.64224353016,88458300335.07565,297419.4014099881,869119.1682105127,3466697762579.708,1861907.0230759934,745378.7666952243,3344571692853.862,1828817.0200580105,85024883.18103574,29.744902573297658,0.30538386345335483,1.0,0.24231355189632398
190544.97889431176,64384354987.440636,253740.7239436363,609238.0745961657,828122614110.1919,910012.4252504423,475181.8129009918,603741051518.5367,777007.7551212322,57622756.40490724,31.624135959837496,0.2900118304896742,1.0,0.2756227821641515
243851.66832546628,111849401065.25735,334438.9347328707,747781.0319779591,1172746506822.723,1082934.211678033,505690.2664642646,960461753480.6104,980031.5063714077,73295185.43005376,28.802240009737798,0.3134409989248934,1.0,0.3746963752425723
237820.94947923208,106917359603.25703,326982.2007437974,783010.4714615509,1921652548835.5276,1386236.8299953395,642716.8611238424,1908449576919.3794,1381466.4588470396,78869032.61325404,31.97569866161919,0.2899680829050397,1.0,0.30403918752795683
282931.2064633295,230046160578.62823,479631.2756468538,867807.1618247414,2011940702267.7454,1418428.955664592,580587.5008482322,1461269978519.8284,1208830.003978983,89954151.4847879,30.530679160562368,0.30269813122228917,1.0,0.27495851702592766
237304.17234217338,110626937465.10492,332606.2799544003,734831.1006271396,1419136748774.6477,1191275.261547325,629617.2419513997,1274040037228.554,1128733.8203618042,72384425.2466937,27.33453737894185,0.3212077709983144,1.0,0.2724511479308134
425884.35580228653,356064167040.92474,596711.1252867042,942573.8299250312,1849719257073.5562,1360043.8438056165,697802.7320982298,1660593692522.2217,1288640.2494576296,90132475.83595492,29.70613892367269,0.30402687514356547,1.0,0.435024258868329
278248.50325994205,140639499487.50687,375019.3321516997,1048871.2172940644,2779131632900.81,1667072.7737266931,838466.518852068,2642005224313.3447,1625424.6289241912,101482337.21772353,30.34970432412317,0.30273650852425676,1.0,0.2886372608684451
199534.63918152923,71477662414.9561,267353.0669638112,707698.1975820092,1169821973349.0242,1081583.0866600235,581731.5011168113,1047604265892.0619,1023525.4104769758,68126766.18973166,33.951110101007856,0.2765107925732787,1.0,0.3373807398481296
237520.12016533705,111386835310.59752,333746.66336998413,842137.7039715254,1853608186045.5737,1361472.80033263,585079.0565967752,1219830200859.4543,1104459.234584715,83648778.38152264,31.82742502350039,0.29055206894187396,1.0,0.282195360369895
215388.39810800337,100104060175.01675,316392.25681899476,803168.4010539054,2051537406402.3035,1432318.8913095796,680224.0643010539,1927019637178.1775,1388171.3284671232,75961103.87210958,30.055706322961463,0.30345029806460494,1.0,0.25358289502604975
230063.04802609695,93956548128.63374,306523.3239553456,779278.813960481,1817595544688.586,1348182.311369121,694107.9004218933,1721900629120.9434,1312212.1128540703,79558761.43777408,31.316767732846095,0.29609587206346416,1.0,0.23279782920529407
244222.7212699797,114634546476.1992,338577.23856780335,908913.1341305512,3774324592206.9673,1942762.1038632,714637.1165521707,2985595547312.4844,1727887.5968397032,97118819.77963954,33.60510216584178,0.27360851703397754,1.0,0.35836049796209046
268946.12805045076,135217015329.22435,367718.663286519,801376.5874817871,1603614336927.5657,1266338.9502528799,522819.12058237125,1135962835463.1982,1065815.5729126865,78978798.28460185,28.531603019061897,0.31275321842484355,1.0,0.3216880798383045
225676.85198800397,94680494725.84938,307701.95762433717,733276.1364680224,1093310850447.1349,1045615.0584450929,507911.7751144394,872670581034.5715,934168.3900853056,69776462.67523514,31.28395291030478,0.29146362931545944,1.0,0.4075893017423756
255287.00487455248,124041861909.54024,352195.77213467547,665083.3364138216,1619741600490.652,1272690.6931735817,565942.8577836708,1527010464820.8474,1235722.6488257174,69210859.1534318,30.775982409557844,0.29822933068819635,1.0,0.34540790064217314
