source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1,transfer_score,w_dist
0.83,0.83,0.83,0.83,0.475,0.47692307692307695,0.5166666666666667,0.4960000000000001,0.5625,0.5641025641025641,0.55,0.5569620253164557,142.31859959986429,8.3479653294551e-09
0.855,0.8817204301075269,0.82,0.849740932642487,0.5708333333333333,0.5779816513761468,0.525,0.5502183406113537,0.6125,0.6194690265486725,0.5833333333333334,0.6008583690987124,148.43497217214352,8.71092580962096e-09
0.805,0.8080808080808081,0.8,0.8040201005025126,0.6041666666666666,0.6288659793814433,0.5083333333333333,0.5622119815668203,0.6625,0.6638655462184874,0.6583333333333333,0.6610878661087867,108.4848027301453,8.518556209931163e-09
0.84,0.84,0.84,0.8399999999999999,0.6166666666666667,0.6228070175438597,0.5916666666666667,0.6068376068376069,0.6166666666666667,0.6186440677966102,0.6083333333333333,0.6134453781512604,122.75935713884829,8.899353731615817e-09
0.855,0.8817204301075269,0.82,0.849740932642487,0.6958333333333333,0.7281553398058253,0.625,0.6726457399103138,0.6416666666666667,0.6440677966101694,0.6333333333333333,0.6386554621848739,99.92462212193408,8.460485029036893e-09
0.815,0.8315789473684211,0.79,0.8102564102564104,0.6416666666666667,0.6517857142857143,0.6083333333333333,0.6293103448275862,0.625,0.6388888888888888,0.575,0.6052631578947367,106.68269330670302,8.595569028012964e-09
0.805,0.8279569892473119,0.77,0.7979274611398963,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6125,0.6173913043478261,0.5916666666666667,0.604255319148936,130.36584346607287,9.045021677115785e-09
0.85,0.8723404255319149,0.82,0.8453608247422681,0.5291666666666667,0.5333333333333333,0.4666666666666667,0.49777777777777776,0.5541666666666667,0.5585585585585585,0.5166666666666667,0.5367965367965368,134.9956030004093,8.29574571956522e-09
0.86,0.8529411764705882,0.87,0.8613861386138614,0.6583333333333333,0.6666666666666666,0.6333333333333333,0.6495726495726496,0.625,0.6271186440677966,0.6166666666666667,0.6218487394957983,107.01218952484913,7.0917489077550334e-09
0.85,0.8645833333333334,0.83,0.8469387755102041,0.5875,0.5929203539823009,0.5583333333333333,0.5751072961373391,0.6125,0.6134453781512605,0.6083333333333333,0.610878661087866,125.93956208997471,9.56119816148258e-09
0.835,0.845360824742268,0.82,0.83248730964467,0.6625,0.6695652173913044,0.6416666666666667,0.6553191489361703,0.6291666666666667,0.6347826086956522,0.6083333333333333,0.6212765957446809,103.64612003442082,8.58957565800148e-09
0.865,0.8762886597938144,0.85,0.8629441624365483,0.5708333333333333,0.5752212389380531,0.5416666666666666,0.5579399141630901,0.5958333333333333,0.5982905982905983,0.5833333333333334,0.5907172995780591,129.88358325637336,7.554927508188036e-09
0.885,0.8969072164948454,0.87,0.883248730964467,0.6041666666666666,0.616822429906542,0.55,0.5814977973568282,0.5708333333333333,0.5779816513761468,0.525,0.5502183406113537,124.83584239397882,9.613147725579517e-09
0.805,0.8210526315789474,0.78,0.8,0.5666666666666667,0.5740740740740741,0.5166666666666667,0.543859649122807,0.6125,0.6261682242990654,0.5583333333333333,0.5903083700440529,143.58176118760036,7.794000352761497e-09
0.815,0.8247422680412371,0.8,0.8121827411167513,0.5333333333333333,0.54,0.45,0.49090909090909096,0.5833333333333334,0.5862068965517241,0.5666666666666667,0.576271186440678,143.36494156496786,9.311118995619597e-09
0.785,0.7878787878787878,0.78,0.7839195979899497,0.6083333333333333,0.6274509803921569,0.5333333333333333,0.5765765765765766,0.5958333333333333,0.5966386554621849,0.5916666666666667,0.5941422594142259,115.83759912389809,7.963151137035156e-09
0.835,0.8602150537634409,0.8,0.8290155440414508,0.45,0.44642857142857145,0.4166666666666667,0.43103448275862066,0.5583333333333333,0.5614035087719298,0.5333333333333333,0.5470085470085471,167.3885140363874,9.25088750013384e-09
0.815,0.8247422680412371,0.8,0.8121827411167513,0.575,0.5818181818181818,0.5333333333333333,0.5565217391304348,0.6208333333333333,0.6218487394957983,0.6166666666666667,0.6192468619246863,129.00478086514562,8.888996938517649e-09
0.785,0.7714285714285715,0.81,0.7902439024390244,0.5875,0.5981308411214953,0.5333333333333333,0.5638766519823788,0.6,0.5983606557377049,0.6083333333333333,0.6033057851239669,110.96122603436238,9.057075186753064e-09
0.845,0.8631578947368421,0.82,0.8410256410256411,0.65,0.6698113207547169,0.5916666666666667,0.6283185840707965,0.6416666666666667,0.646551724137931,0.625,0.635593220338983,116.13271028936173,8.188883046260324e-09
0.795,0.7864077669902912,0.81,0.7980295566502462,0.6541666666666667,0.6761904761904762,0.5916666666666667,0.6311111111111112,0.6375,0.6386554621848739,0.6333333333333333,0.6359832635983264,98.43134989351043,8.774779597354413e-09
0.88,0.9130434782608695,0.84,0.8749999999999999,0.5916666666666667,0.5932203389830508,0.5833333333333334,0.5882352941176471,0.6291666666666667,0.6371681415929203,0.6,0.6180257510729614,141.39106357019799,6.714432039595887e-09
0.85,0.85,0.85,0.85,0.6375,0.6601941747572816,0.5666666666666667,0.6098654708520179,0.6833333333333333,0.6929824561403509,0.6583333333333333,0.6752136752136753,109.75016755853785,8.807317262069828e-09
0.87,0.9021739130434783,0.83,0.8645833333333334,0.5583333333333333,0.5625,0.525,0.5431034482758622,0.5791666666666667,0.5826086956521739,0.5583333333333333,0.5702127659574469,138.51517605173873,8.052628360955631e-09
0.83,0.8666666666666667,0.78,0.8210526315789474,0.6291666666666667,0.6504854368932039,0.5583333333333333,0.6008968609865472,0.6375,0.6601941747572816,0.5666666666666667,0.6098654708520179,116.52598384553445,8.440860839889316e-09
0.89,0.9148936170212766,0.86,0.8865979381443299,0.6125,0.6194690265486725,0.5833333333333334,0.6008583690987124,0.6333333333333333,0.635593220338983,0.625,0.6302521008403361,125.1266315513442,8.552980474483944e-09
0.86,0.875,0.84,0.8571428571428572,0.6333333333333333,0.626984126984127,0.6583333333333333,0.6422764227642277,0.5833333333333334,0.5862068965517241,0.5666666666666667,0.576271186440678,110.35024108813526,9.865933700555175e-09
0.83,0.8586956521739131,0.79,0.8229166666666666,0.5875,0.5929203539823009,0.5583333333333333,0.5751072961373391,0.6,0.6052631578947368,0.575,0.5897435897435896,127.25193640359986,9.175034693681305e-09
0.845,0.8709677419354839,0.81,0.8393782383419689,0.5958333333333333,0.6036036036036037,0.5583333333333333,0.5800865800865801,0.6208333333333333,0.6260869565217392,0.6,0.6127659574468085,91.9184239706463,9.915385094209782e-09
0.805,0.8210526315789474,0.78,0.8,0.5416666666666666,0.55,0.4583333333333333,0.5,0.5875,0.5882352941176471,0.5833333333333334,0.5857740585774059,124.35583190497063,8.529057194196317e-09
0.84,0.8617021276595744,0.81,0.8350515463917526,0.5875,0.5929203539823009,0.5583333333333333,0.5751072961373391,0.5875,0.5963302752293578,0.5416666666666666,0.5676855895196505,143.05956345886239,9.6260981240248e-09
0.875,0.8947368421052632,0.85,0.8717948717948718,0.5791666666666667,0.5826086956521739,0.5583333333333333,0.5702127659574469,0.5833333333333334,0.5877192982456141,0.5583333333333333,0.5726495726495726,134.85841908546263,9.62642017049656e-09
0.795,0.8172043010752689,0.76,0.7875647668393783,0.6375,0.6601941747572816,0.5666666666666667,0.6098654708520179,0.6541666666666667,0.6697247706422018,0.6083333333333333,0.6375545851528385,105.71288848872692,8.697271786582959e-09
0.805,0.8080808080808081,0.8,0.8040201005025126,0.5416666666666666,0.5396825396825397,0.5666666666666667,0.5528455284552845,0.5958333333333333,0.5934959349593496,0.6083333333333333,0.6008230452674898,130.16798570210852,9.256734854467171e-09
0.815,0.8,0.84,0.8195121951219512,0.5541666666666667,0.5528455284552846,0.5666666666666667,0.559670781893004,0.6,0.5967741935483871,0.6166666666666667,0.6065573770491804,134.69025558175179,7.502214874206825e-09
