source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
297474.36508472945,180080617623.97253,424359.0668572695,672917.4266282378,1030943922806.6127,1015354.0874033121,186359.7160475294,70432190854.3927,265390.638219197,607512.8075986336,826128410377.0317,908916.0634387708,65643329.13785395,0.39208947516293935,0.25113257136731404,1.0,0.2533295607695643
252164.72007877912,101104315095.36859,317969.04738569853,738330.5988035549,1435668899475.1226,1198194.015790065,274638.3291717073,189663399259.81128,435503.6156678969,568418.3774098293,970919553328.0726,985352.5020661756,70287839.88517083,0.37292489453059247,0.26283248652877794,1.0,0.2903206227099104
287379.3623311086,158540194739.99713,398171.06215795886,706396.0583096017,965083582470.2188,982386.6766554903,260765.75296199386,134890367250.96431,367274.23984124494,591990.164454937,583367835983.2839,763785.2027784277,65313771.66087396,0.3692968000851076,0.2699466947040239,1.0,0.2498478671154003
327138.9610193435,218725862880.5871,467681.36896886013,760085.4811389562,948091802403.8672,973700.0577199671,206620.36459698546,89353830833.84601,298921.11138868396,624211.7517605851,563026680326.1891,750351.0380656437,71366391.11517635,0.3469118850593339,0.28406808136202527,1.0,0.22454764092005322
469415.30166141375,588222463581.4016,766956.6243154835,612311.8378877386,553668317486.5824,744088.9177286425,204168.42282467269,87629052312.76648,296022.0470045542,515508.462252839,349245360113.0261,590969.8470421534,54684639.13907612,0.3739850801726671,0.26223573034894543,1.0,0.19615019944462744
338692.824157735,185324890480.66345,430493.7751938621,873958.1805878655,1036598145254.869,1018134.6400426954,195722.82269781135,66321088711.17097,257528.81141955935,594232.7265473998,456687352192.9416,675786.4693769339,82999970.18138643,0.3719325726218992,0.2651796755091128,1.0,0.24488323706629925
346862.9041105921,219516666461.60608,468526.0573987386,619740.714399312,554075356574.136,744362.3825625096,162492.55180890343,47735506013.88332,218484.56699246133,530685.0853338654,348009614134.6546,589923.39683611,59685047.62341961,0.3317873257093219,0.29210405360398,1.0,0.3118710510549991
388773.8748530855,334374128994.72656,578250.9221736932,757221.4610767413,1176132715629.9656,1084496.526333748,263645.6368637247,146089119363.52667,382216.06371727324,693724.3913335131,1030498161986.5089,1015134.5536363684,67934192.61755425,0.3673504156119093,0.26795391577479777,1.0,0.23485718005191508
374260.05803596665,301930975354.26056,549482.4613709345,627321.3511395325,920609168043.2577,959483.8029082397,199677.4199715134,101532690809.0798,318641.9476608185,546602.5750942405,749356735011.13,865653.9349018926,57004480.309045576,0.3853274574429987,0.2548875238290871,1.0,0.2160389965470373
347802.0081725334,198708369736.0728,445767.1698724266,835876.9064987843,1242802698269.1663,1114810.6109421304,255086.10227401776,141700349404.59457,376431.06859635614,612045.7855310079,644924391343.7782,803071.8469376063,77500699.38980462,0.3660281608969881,0.26835085675673037,1.0,0.3034007558869082
299845.45549417817,164231727448.22806,405255.1387067511,683336.8602159374,885563289580.3384,941043.7235220999,312672.2500579892,325469354272.94446,570499.2149626014,583031.3533775231,679860884283.445,824536.7695157354,57438901.08816345,0.3555529567175538,0.2774715824560516,1.0,0.25285932688446505
278756.148644773,134542307508.21384,366800.0920231807,765948.7173564801,930295440905.5314,964518.2429096566,218691.00848822287,89149727147.75111,298579.5156197945,657568.2797486102,605149535620.3367,777913.5785036386,71145440.28639565,0.34527283075729875,0.2822981628637517,1.0,0.29832056921718064
