target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.8375,0.8584070796460177,0.8083333333333333,0.832618025751073,0.505,0.5045871559633027,0.55,0.5263157894736842,0.605,0.6206896551724138,0.54,0.5775401069518717
0.8416666666666667,0.8596491228070176,0.8166666666666667,0.8376068376068376,0.52,0.5185185185185185,0.56,0.5384615384615384,0.62,0.6276595744680851,0.59,0.6082474226804124
0.8333333333333334,0.8636363636363636,0.7916666666666666,0.8260869565217391,0.57,0.5673076923076923,0.59,0.5784313725490196,0.635,0.6483516483516484,0.59,0.6178010471204188
0.8583333333333333,0.9056603773584906,0.8,0.8495575221238938,0.66,0.6818181818181818,0.6,0.6382978723404256,0.65,0.6704545454545454,0.59,0.6276595744680851
0.8291666666666667,0.8434782608695652,0.8083333333333333,0.8255319148936171,0.565,0.5698924731182796,0.53,0.5492227979274611,0.635,0.6421052631578947,0.61,0.6256410256410256
0.8166666666666667,0.8392857142857143,0.7833333333333333,0.8103448275862069,0.42,0.42592592592592593,0.46,0.4423076923076923,0.535,0.5384615384615384,0.49,0.5130890052356021
0.8333333333333334,0.8571428571428571,0.8,0.8275862068965518,0.625,0.6436781609195402,0.56,0.5989304812834224,0.62,0.6304347826086957,0.58,0.6041666666666666
0.8416666666666667,0.8416666666666667,0.8416666666666667,0.8416666666666667,0.475,0.4774774774774775,0.53,0.5023696682464456,0.575,0.5773195876288659,0.56,0.5685279187817258
0.8208333333333333,0.8737864077669902,0.75,0.8071748878923766,0.59,0.59,0.59,0.59,0.62,0.6304347826086957,0.58,0.6041666666666666
0.8625,0.8990825688073395,0.8166666666666667,0.8558951965065502,0.67,0.6888888888888889,0.62,0.6526315789473685,0.625,0.6288659793814433,0.61,0.6192893401015229
0.8375,0.8584070796460177,0.8083333333333333,0.832618025751073,0.59,0.5882352941176471,0.6,0.5940594059405941,0.595,0.5979381443298969,0.58,0.5888324873096447
0.8875,0.911504424778761,0.8583333333333333,0.8841201716738197,0.56,0.56,0.56,0.56,0.63,0.6274509803921569,0.64,0.6336633663366336
0.7958333333333333,0.8317757009345794,0.7416666666666667,0.7841409691629956,0.59,0.6046511627906976,0.52,0.5591397849462365,0.605,0.6153846153846154,0.56,0.5863874345549739
0.8083333333333333,0.8245614035087719,0.7833333333333333,0.8034188034188033,0.6,0.6190476190476191,0.52,0.5652173913043478,0.685,0.7032967032967034,0.64,0.6701570680628273
0.85,0.8818181818181818,0.8083333333333333,0.8434782608695653,0.55,0.55,0.55,0.55,0.54,0.5444444444444444,0.49,0.5157894736842104
0.8208333333333333,0.8598130841121495,0.7666666666666667,0.8105726872246696,0.58,0.5909090909090909,0.52,0.5531914893617023,0.575,0.5842696629213483,0.52,0.5502645502645502
0.8041666666666667,0.8411214953271028,0.75,0.7929515418502203,0.555,0.5555555555555556,0.55,0.5527638190954774,0.675,0.6842105263157895,0.65,0.6666666666666667
0.8291666666666667,0.8761904761904762,0.7666666666666667,0.8177777777777778,0.54,0.5392156862745098,0.55,0.5445544554455445,0.605,0.6129032258064516,0.57,0.5906735751295337
0.8166666666666667,0.8518518518518519,0.7666666666666667,0.8070175438596491,0.485,0.4819277108433735,0.4,0.4371584699453552,0.53,0.53125,0.51,0.5204081632653061
0.8416666666666667,0.8867924528301887,0.7833333333333333,0.8318584070796461,0.5,0.5,0.44,0.46808510638297873,0.595,0.6021505376344086,0.56,0.5803108808290157
0.8458333333333333,0.8738738738738738,0.8083333333333333,0.8398268398268398,0.57,0.5714285714285714,0.56,0.5656565656565656,0.605,0.6105263157894737,0.58,0.5948717948717949
0.8083333333333333,0.8363636363636363,0.7666666666666667,0.8,0.52,0.5212765957446809,0.49,0.5051546391752578,0.635,0.6391752577319587,0.62,0.6294416243654821
0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.48,0.4818181818181818,0.53,0.5047619047619047,0.595,0.6021505376344086,0.56,0.5803108808290157
0.775,0.8235294117647058,0.7,0.7567567567567567,0.545,0.5473684210526316,0.52,0.5333333333333334,0.625,0.6373626373626373,0.58,0.6073298429319371
0.825,0.8611111111111112,0.775,0.8157894736842106,0.5,0.5,0.5,0.5,0.585,0.5913978494623656,0.55,0.5699481865284974
0.8458333333333333,0.8807339449541285,0.8,0.8384279475982532,0.49,0.48863636363636365,0.43,0.4574468085106383,0.6,0.6136363636363636,0.54,0.574468085106383
0.8708333333333333,0.8803418803418803,0.8583333333333333,0.8691983122362869,0.57,0.574468085106383,0.54,0.5567010309278351,0.605,0.6060606060606061,0.6,0.6030150753768845
0.8208333333333333,0.8532110091743119,0.775,0.812227074235808,0.66,0.6777777777777778,0.61,0.6421052631578946,0.645,0.6526315789473685,0.62,0.635897435897436
