target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
28853391.838511363,41274234.9904494,44740294.63505025,61432770.366163,41317557.726850845,60113022.7826876
39639508.80346105,57326054.96071667,45258549.5526977,59741550.0509632,45037844.160145804,56799118.67058466
31854715.020141464,44716475.788797885,51149576.16500709,66112445.64922824,41939369.88143108,58296155.98865253
30127008.76149416,39880782.80979759,53748325.13855305,72022557.41175707,44457574.035743706,63512382.500113614
30446837.325158235,44130806.76343625,44123227.31655093,60567555.438796006,36917260.93084818,51331450.48110184
34929628.3586395,46890447.692807935,55465436.049089774,75895364.12974942,49658742.26439211,68279122.75027356
27739246.980295222,38161780.18096413,37488768.789271064,52403228.07927484,34740454.19468346,50918378.19335355
24216265.674512323,36667461.38071403,45521247.0579378,65189740.21835955,37762980.67504596,60991146.089137286
23845169.442518838,34658941.546847805,36557542.55428474,51301252.13391724,31014152.322521638,45631184.961404316
31581694.172116056,46552327.81541832,50685166.98489836,67432344.37736478,42984061.522046424,60744627.9583143
30011868.96820825,42021506.68843448,48705353.7028237,64487264.83677657,46030673.510011256,60988295.88098415
26571065.676821984,38211055.50369491,48510148.17085542,68531205.90386058,44404468.9066585,68216030.42508017
22047866.507419825,33919926.10391301,46275385.44122711,69318274.76884018,42434326.28127717,64897379.447945386
34541788.76200226,49329891.640827596,50847164.77499516,63056681.08146833,45085270.907999985,58472201.51068372
33240499.658509545,49976214.03285732,46294558.15091458,59488558.416784525,43407119.9191062,56900435.50288599
30843750.713301964,46067027.71765386,44268910.446095504,56494112.63568247,40641555.674595095,55172897.30599723
31481221.966420166,44356477.20243032,41366598.10152908,56584167.58970181,37948438.35182364,55508620.04390927
33835309.11705927,46689045.01947688,46554557.341634676,59435411.54919079,37689274.9409548,50217523.687677436
34697488.98276047,47456590.15508658,51673357.70415549,70619338.34683384,48357059.27755124,65292790.05641771
29385348.829391766,44130719.69481315,44367168.649065666,60189122.41402646,40122599.010984465,55559252.0187768
27267449.506529026,39540463.61246,36807341.29079706,48128807.92917955,37600375.25092615,50809842.040128164
27348025.67020471,39789356.43628662,40594011.59872622,60012092.641627446,37348015.701408595,58224830.42894671
29964776.552557398,45278144.10758443,52653923.67212777,75701957.22517279,45853479.765851974,68538945.13894758
33174353.28192014,47041930.85784048,45531268.95602828,61205803.47907052,38188881.96545114,52044390.0080982
36820685.640727825,51542022.970825724,51820843.37923133,70333622.73863952,49342221.42130744,67784291.92301834
35145923.87987825,47447117.80333859,51852825.133286946,72129113.78816843,51384292.48773704,72504855.75097913
23764347.270224657,33435514.788787037,41113245.30285915,62185555.124278486,40767453.523490846,60822815.20665132
