source_mae,source_rmse,target_mae,target_rmse,trans_target_mae,trans_target_rmse
244034.888086607,322363.22473370173,745841.9875672705,1208683.2108197408,620277.1839604811,1082671.3744462025
286474.71850292356,399262.1643861228,701893.0976033114,1087206.9693209964,638860.8129157576,1060226.5821658615
250622.05440539995,350291.6425012545,706246.5796584026,1136433.4138348429,641212.8496253549,1120820.623334333
239178.6479832002,318011.16405892884,762128.4237906919,1217830.1282184063,663634.2690316208,1149291.941800117
253676.63299405892,345030.6303962275,788864.1073457807,1238264.070390545,672707.4834231042,1130338.2790867703
265756.21739712055,362960.14218403766,746076.4270275425,1176181.766577905,652862.2668784115,1091541.7304147515
250147.14457040647,337058.6130273615,733217.6464742413,1164581.334114178,618630.6570164094,1066791.5481919344
254568.16781903798,341356.4875341489,726815.9091083184,1162190.09641602,615145.5430551012,1101569.2548447368
234394.88169519615,315088.0615360172,729046.0433244456,1127386.1583287201,616743.2545914509,1054406.925787067
241186.81532297118,342764.6216552118,797054.8351016786,1267349.4745674657,600499.728569136,1017746.3411479638
238203.73628045415,326629.54104679596,722899.1279648722,1170134.1652859987,647600.209501388,1112416.280708955
250658.758705313,341851.09541834955,785919.4196115505,1241471.9221745168,646977.7572505124,1144101.1814488817
268933.7136725348,367509.5077758056,764688.7199583113,1221661.3833693739,632296.3536389411,1107523.898737661
239652.10426122168,337567.0780450094,790596.3665259856,1369816.4341390762,632998.0208947037,1078384.9515015578
237874.98298149885,334238.77783439856,737266.5902047461,1143810.1773223276,658441.544864341,1147853.685888049
255726.5024987854,338153.90435018705,757457.9153047472,1206002.8768904014,621409.4144629379,1113767.048605958
268612.08408895344,364188.9953776466,773075.5126254336,1236229.9019393323,673069.130630987,1157212.6510466787
260531.83254898514,362002.6874064018,733585.2578852683,1175075.0630772891,618112.9256440878,1061083.179483315
259333.32543830184,362172.6812103012,705853.6337670973,1118470.5553517467,654103.412131541,1135942.2743169572
270365.1101381378,371361.81332970475,758659.4098915536,1189094.6633420296,623280.4223897872,1062674.4405623903
256457.5124146754,367114.71384957765,741418.578823037,1148825.5363517993,612903.2255866125,1077593.6628836964
239023.0369871213,321546.8122155,757154.4883738792,1206695.4637306246,647458.2743351388,1133103.5976341388
248192.962309201,333764.26329861337,713597.8590622167,1148130.4794475455,609641.0128803153,1040430.6720177161
240813.78749374519,321781.1776249233,733899.3235375632,1133325.4557856584,669109.2147074455,1171978.7015887299
259678.57423896456,349269.801403267,784609.5970561574,1288523.676816059,658905.4223106444,1135691.1040959887
249249.10525398696,338103.94468838966,787353.7648609118,1309377.848440592,636859.6227599088,1103693.2218464075
255908.9011919003,344635.3840190951,748650.5167463241,1180904.7989300597,652536.4567686028,1118281.471692698
250372.36073076172,345096.5571691811,723558.4130077951,1143834.7336375327,680924.0634201051,1148053.9536017405
232494.4806738335,316963.16265411326,697382.195059484,1158884.3676394625,605238.0070241031,1040342.729303244
251363.29686335058,344931.95877481706,737468.4060370346,1166689.0239648977,630514.0337681274,1083415.7577083372
257836.9731595432,340450.8717933744,780767.7550202647,1252150.8687696527,620007.9440784358,1033771.1185565962
248384.55851509882,336114.59911701514,824209.1506153278,1284769.2042200502,618555.1855436027,1091755.9784751777
245886.17633267256,350326.5763631397,743100.2939914173,1177242.901416448,618892.5813142637,1066644.0667470577
256914.71507736028,353258.3434665529,790611.8191708418,1269036.1238865452,642722.6163987753,1097977.3668695325
264590.0058493901,368896.68132639694,767121.5490484454,1198304.5112519395,668418.7481934406,1157784.5072201288
267640.29527667526,369427.4422170446,746263.3583115238,1163546.4090725835,656051.237076156,1123245.622098845
236977.82281561018,313777.95688362897,748697.2972727404,1178619.4777289117,643071.8115942762,1104699.417137109
258980.08569650754,349771.2115800664,758109.9606364565,1217360.4255451187,661530.817951005,1127471.150724462
281713.8627148343,397224.4545290968,789149.652891379,1255079.8902500216,664003.8483473719,1101043.1912369598
246193.95679355075,347636.5803306979,792754.3381668522,1239344.3729495455,644215.6604947639,1088100.974400069
254194.0149175027,357547.1101437372,728028.3164083166,1158522.853360773,674847.2368353292,1119320.5861153626
255980.13346773834,347846.46708116616,761039.446343777,1167106.2072564699,642518.8188628334,1037949.6182050147
255034.75537465507,338291.4584676724,791505.50213996,1263516.967075809,641469.8223864908,1095269.4507718498
256039.8829431693,358169.50040754577,738328.5564409837,1155156.266680202,656864.2678227554,1114858.475897735
241542.3927863594,338723.5206052295,725852.2487261142,1186035.2560601137,661772.6755341992,1079480.2722517424
250874.45834953067,341492.23469900544,825075.886938582,1224301.9902987503,640210.573310949,1066457.0541577688
258869.1288880296,354615.96456765704,754378.1422680649,1176690.6537141984,651211.1780857703,1132953.7872927336
268767.37713546015,366738.67028734426,729820.1660226582,1125014.2837074655,610625.6287597512,1057940.7660874568
246779.81293537034,330559.8397010429,820754.2964896655,1352083.9681519843,638460.1665461855,1161967.9421898564
235140.90053469117,339917.8979270507,824459.0855601314,1311004.966647673,642887.2853335234,1083641.1461793417
262162.26248413435,358487.3372135694,813021.2109768669,1270899.0026047556,658360.7789564299,1063090.507323543
260439.47539321022,346726.8830504256,728167.8396163904,1174111.8895291078,654141.9818558503,1109032.3907032844
241933.64379714412,340096.8653556868,715356.7700567779,1168087.0262439856,618566.9751349238,1138494.007085675
266665.34833447327,380001.8024110198,765300.7153930995,1227653.8022060753,640289.0050135581,1065944.3488478588
259821.64375004105,349477.6315327586,706078.0821390243,1109266.5114371157,661484.7604513153,1177050.0386305843
247187.565961992,322299.62773125124,766850.4446392851,1201434.3620600074,625329.8634011949,1050173.9528126353
264447.06961685314,375346.16987097316,734614.2691775698,1163725.6705931718,638961.4256066974,1092556.1566397692
242226.09926582806,323357.30522790604,734032.7926201574,1144154.0348156327,663191.8185368328,1126046.6016908677
280358.0282893299,380730.1488888143,771571.6053894265,1215222.5702537165,647848.2608520476,1136804.0934862294
278214.81169461686,380092.52686308156,727212.1348725439,1117537.6197731928,619891.1877461108,1088024.0270145799
253874.59479799576,341157.1568166384,727506.8179284706,1128116.7595292383,621089.0736642127,1098938.9125088449
261475.834646589,361017.51509067026,787997.2492428564,1237091.3644752996,633071.2011738609,1091270.3727763062
267744.77575716464,375246.98728470027,779547.5007157269,1223198.1984007456,643490.8932296425,1116899.8964813477
246066.5368700664,346926.892983306,767032.7511595872,1201567.0327109757,614104.7262905303,1088084.9575758176
229607.59574317935,314312.62305155105,758414.2238407745,1223558.007719756,643677.9726185127,1102964.8780042003
238021.9256241564,324876.85956179857,783899.3529171236,1293272.0233389137,645709.3066194056,1086870.8915721944
252179.54934348824,356128.68387063337,749509.2136989695,1183036.804778474,637319.2988972138,1103324.583126411
249891.64237214514,339573.13216900587,725991.7378401124,1183181.3305999315,643370.7925841396,1082978.1700081525
268265.8651413327,376430.3270594974,726584.1750695374,1139187.0305841833,658678.3960085401,1144555.7032516056
260832.17557963548,360469.0028020564,754306.6805591976,1167324.1081743003,614739.7395198611,1053079.568074715
261261.82808926428,356089.3168253777,732205.2212531143,1167107.2484935264,648268.9614432657,1131296.8408223232
245493.4486734614,338871.4051906395,791526.3513635853,1261707.3305786212,618360.3082017329,1032749.1500529688
268804.0999668163,374227.0303041986,764614.7921308709,1212686.6863282346,628422.5632646146,1095652.7566685418
246727.86257506761,327674.94333644764,771573.0462023234,1230143.9424338257,624006.3137080597,1061350.552573447
265527.5460441199,368720.4563188547,706677.7650437902,1115546.1415241037,628959.680397955,1097567.7543518841
256535.78283694157,341041.27098457294,761165.8409696255,1190380.8534665303,634935.6815764881,1116461.5699298943
245127.95139574743,325411.57904675655,723505.951385983,1149286.4644692424,619080.1646694109,1080569.3764079
254471.3867009098,344847.93236538506,795506.6954178411,1255869.7808641815,696374.2863617842,1216488.5501477506
250881.24200102824,343072.1811552571,827847.0102158483,1315904.636132598,679333.5521301759,1117203.6314198896
256574.1885218986,351799.88337919145,702062.2926647101,1118872.6379424618,659739.5736798679,1107267.7531922124
265149.5316140629,372541.0536156861,707510.5651623975,1108800.335805511,648612.5746526637,1102850.7244169086
261206.26387316006,357735.45047147264,782701.2992401926,1218187.1871609408,599265.401649125,1027501.0851259965
242103.38298212146,329634.11741660436,784989.1035924869,1259035.4613415927,648446.0532865142,1141696.4931181
269399.68286465097,371591.5881285934,792223.2388397609,1259585.9398103724,654651.6319227847,1151978.8322872445
260290.273857007,356414.3215149365,735121.7363918489,1160192.2364521953,605698.6741492013,1039809.6572749853
259798.07789176196,359629.6904750686,812078.4411714413,1322874.1378669268,644114.5057219143,1065367.116978546
251458.32033598342,340336.3350223474,734021.7415502823,1172961.2116171066,649906.6736489225,1094348.6041839404
270167.5777487388,373517.4317005404,762645.3412504506,1196278.1724012436,641587.8151490688,1092062.1415570672
266660.24652979703,370276.8186351669,729234.5629136973,1144034.0337008256,619584.238595873,1058872.5966950187
258209.6021500457,350431.92145144165,792997.4328336709,1327445.8406918,641094.8213999678,1111536.5963426838
275028.89718644164,376201.09930888924,710638.961608396,1124950.0002140545,619885.2877118025,1082874.4128739836
252096.64506821468,359700.971819009,761942.3086151871,1232925.8635382093,608419.1102042953,1064905.867669509
265177.69767391804,364762.5729928408,734589.6346274709,1210440.7147977026,650296.4721995621,1083244.8210993903
261791.287305322,349397.8374671117,767640.2214047282,1257742.8734066302,664703.2445209577,1151465.0792333914
266057.113161088,370503.9491159802,698944.7788539203,1119353.7510950046,583536.6626963869,1006732.0815557679
231655.57306501473,324380.92649994575,805264.8463890841,1331611.4714056568,683232.6994620662,1134995.0923596367
240630.4340461627,320937.22640699305,786042.8389635689,1248442.0494693299,612569.1762792832,1048762.8529615586
256304.70683063276,334764.0625438438,749051.3947986602,1200645.7948414162,634985.4823104297,1097710.852607242
261011.4846939326,356847.5682806018,746233.7990406253,1185200.1880843265,617837.6351408556,1118285.9029446582
242584.04313656638,338887.7992761593,749976.4983520393,1200507.2792678145,621529.0834746917,1104151.4582158907
