target_accuracy,target_f1,source_accuracy,source_f1,trans_source_accuracy,trans_source_f1
0.925,0.928,0.29,0.3106796116504854,0.26,0.27450980392156865
0.9416666666666667,0.943089430894309,0.81,0.819047619047619,0.78,0.7884615384615384
0.9416666666666667,0.9435483870967741,0.73,0.7326732673267328,0.72,0.72
0.9333333333333333,0.9354838709677419,0.85,0.8453608247422681,0.81,0.8041237113402062
0.95,0.9520000000000001,0.32,0.27659574468085113,0.36,0.36
0.9291666666666667,0.9322709163346613,0.75,0.7368421052631577,0.71,0.712871287128713
0.9375,0.9387755102040817,0.3,0.2553191489361702,0.36,0.39622641509433965
0.9291666666666667,0.9311740890688259,0.25,0.15730337078651685,0.27,0.27722772277227725
0.9125,0.9163346613545819,0.86,0.8627450980392156,0.89,0.8910891089108911
0.9166666666666666,0.9199999999999999,0.81,0.8041237113402062,0.76,0.76
0.9375,0.9407114624505929,0.21,0.18556701030927833,0.29,0.29702970297029707
0.9416666666666667,0.9444444444444444,0.35,0.32989690721649484,0.32,0.3333333333333333
0.9166666666666666,0.9199999999999999,0.26,0.21276595744680854,0.33,0.2947368421052632
0.9208333333333333,0.9224489795918367,0.24,0.20833333333333331,0.3,0.3
0.9083333333333333,0.9140625,0.78,0.78,0.77,0.7766990291262137
0.9208333333333333,0.9236947791164659,0.66,0.66,0.78,0.7884615384615384
0.9208333333333333,0.9249011857707509,0.77,0.7766990291262137,0.76,0.7647058823529411
0.9291666666666667,0.9322709163346613,0.78,0.78,0.77,0.7722772277227723
0.8958333333333334,0.9027237354085603,0.13,0.10309278350515465,0.21,0.21782178217821785
0.9333333333333333,0.9365079365079364,0.26,0.24489795918367346,0.29,0.2828282828282828
0.925,0.9291338582677166,0.18,0.16326530612244897,0.25,0.28571428571428564
0.8958333333333334,0.9019607843137256,0.28,0.24999999999999994,0.41,0.41584158415841577
0.9083333333333333,0.9147286821705427,0.71,0.6881720430107526,0.74,0.74
0.9,0.9047619047619048,0.73,0.7216494845360825,0.76,0.7692307692307692
0.9041666666666667,0.9090909090909091,0.24,0.17391304347826086,0.23,0.22222222222222224
0.9333333333333333,0.9365079365079364,0.41,0.4587155963302752,0.4,0.4230769230769231
0.925,0.928,0.75,0.7422680412371133,0.78,0.7843137254901961
0.9125,0.9163346613545819,0.81,0.8041237113402062,0.78,0.7843137254901961
0.9,0.90625,0.21,0.21782178217821785,0.3,0.3137254901960784
0.9125,0.91699604743083,0.24,0.1914893617021277,0.26,0.26
0.9333333333333333,0.9354838709677419,0.37,0.3225806451612903,0.36,0.34693877551020413
0.9208333333333333,0.9254901960784313,0.7,0.6938775510204083,0.75,0.7524752475247525
0.9416666666666667,0.9435483870967741,0.88,0.8749999999999999,0.85,0.8543689320388349
0.9208333333333333,0.9236947791164659,0.29,0.3106796116504854,0.37,0.3636363636363636
0.9041666666666667,0.9083665338645417,0.81,0.819047619047619,0.77,0.7766990291262137
0.9208333333333333,0.926070038910506,0.77,0.7722772277227723,0.78,0.7843137254901961
0.9291666666666667,0.9317269076305221,0.81,0.8118811881188118,0.77,0.7722772277227723
