target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score
0.875,0.8947368421052632,0.85,0.8717948717948718,0.61,0.627906976744186,0.54,0.5806451612903226,0.59,0.59375,0.57,0.5816326530612245,16.23007638504618
0.9083333333333333,0.9711538461538461,0.8416666666666667,0.9017857142857143,0.53,0.53,0.53,0.53,0.59,0.5978260869565217,0.55,0.5729166666666666,16.820169878485014
0.8875,0.911504424778761,0.8583333333333333,0.8841201716738197,0.575,0.5806451612903226,0.54,0.5595854922279794,0.565,0.5714285714285714,0.52,0.5445026178010471,13.69711396153227
0.8958333333333334,0.9203539823008849,0.8666666666666667,0.8927038626609441,0.595,0.6043956043956044,0.55,0.5759162303664922,0.57,0.5714285714285714,0.56,0.5656565656565656,13.824284424850736
0.9041666666666667,0.9292035398230089,0.875,0.9012875536480688,0.53,0.532608695652174,0.49,0.5104166666666666,0.595,0.6,0.57,0.5846153846153846,12.418822263718688
0.8958333333333334,0.9357798165137615,0.85,0.8908296943231442,0.57,0.5729166666666666,0.55,0.5612244897959183,0.555,0.5567010309278351,0.54,0.5482233502538071,16.85467340999726
0.9125,0.9380530973451328,0.8833333333333333,0.9098712446351931,0.58,0.5888888888888889,0.53,0.5578947368421053,0.59,0.59,0.59,0.59,16.61298937819228
0.9291666666666667,0.9557522123893806,0.9,0.9270386266094421,0.595,0.6043956043956044,0.55,0.5759162303664922,0.54,0.5425531914893617,0.51,0.5257731958762887,13.429136208451958
0.9041666666666667,0.9801980198019802,0.825,0.8959276018099547,0.645,0.6355140186915887,0.68,0.6570048309178744,0.675,0.6966292134831461,0.62,0.656084656084656,14.252358966811434
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.62,0.6395348837209303,0.55,0.5913978494623656,0.63,0.625,0.65,0.6372549019607844,16.885894354936944
0.9166666666666666,0.9464285714285714,0.8833333333333333,0.9137931034482758,0.63,0.6226415094339622,0.66,0.6407766990291262,0.615,0.6210526315789474,0.59,0.6051282051282052,13.2170606455224
0.9083333333333333,0.9454545454545454,0.8666666666666667,0.9043478260869566,0.685,0.6947368421052632,0.66,0.676923076923077,0.605,0.6105263157894737,0.58,0.5948717948717949,12.943016647789074
0.9125,0.9459459459459459,0.875,0.9090909090909091,0.6,0.6041666666666666,0.58,0.5918367346938774,0.575,0.5789473684210527,0.55,0.5641025641025641,18.242821152977704
0.9,0.9285714285714286,0.8666666666666667,0.896551724137931,0.605,0.6060606060606061,0.6,0.6030150753768845,0.61,0.61,0.61,0.61,18.09602678170419
0.8875,0.926605504587156,0.8416666666666667,0.8820960698689956,0.58,0.5714285714285714,0.64,0.6037735849056605,0.585,0.5876288659793815,0.57,0.5786802030456853,12.12183005312921
