target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,w_dist
0.9416666666666667,0.9732142857142857,0.9083333333333333,0.9396551724137931,0.59,0.5833333333333334,0.63,0.6057692307692308,0.61,0.6122448979591837,0.6,0.6060606060606062,158.51284866902563,7.677690391270677e-09
0.9458333333333333,0.9572649572649573,0.9333333333333333,0.9451476793248945,0.365,0.3516483516483517,0.32,0.33507853403141363,0.405,0.4020618556701031,0.39,0.39593908629441626,258.34042150141374,9.010317183654925e-09
0.9125,0.9230769230769231,0.9,0.9113924050632911,0.4,0.4,0.4,0.4000000000000001,0.445,0.44954128440366975,0.49,0.4688995215311005,210.87803872921245,8.318191549189607e-09
0.9208333333333333,0.9391304347826087,0.9,0.9191489361702128,0.675,0.6966292134831461,0.62,0.656084656084656,0.695,0.7010309278350515,0.68,0.6903553299492386,108.72027114871577,6.940143207925597e-09
0.9208333333333333,0.954954954954955,0.8833333333333333,0.9177489177489178,0.53,0.5340909090909091,0.47,0.5,0.5,0.5,0.45,0.4736842105263158,174.21208875940974,9.200094980826754e-09
0.9166666666666666,0.923728813559322,0.9083333333333333,0.9159663865546218,0.37,0.3522727272727273,0.31,0.32978723404255317,0.44,0.44,0.44,0.44,246.93790220565788,7.356233199330234e-09
0.8958333333333334,0.9279279279279279,0.8583333333333333,0.8917748917748917,0.525,0.5203252032520326,0.64,0.5739910313901346,0.625,0.6262626262626263,0.62,0.6231155778894472,152.9732628060413,8.70279388253595e-09
0.9458333333333333,0.9495798319327731,0.9416666666666667,0.9456066945606694,0.46,0.46078431372549017,0.47,0.46534653465346537,0.545,0.5454545454545454,0.54,0.542713567839196,191.97578062963277,7.637557815023297e-09
0.9291666666666667,0.9478260869565217,0.9083333333333333,0.9276595744680851,0.685,0.6868686868686869,0.68,0.6834170854271356,0.64,0.6458333333333334,0.62,0.6326530612244898,138.33461195840243,7.586150670302877e-09
0.9375,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.765,0.7676767676767676,0.76,0.763819095477387,0.715,0.7171717171717171,0.71,0.7135678391959798,78.56391113725164,9.383005325643483e-09
0.9375,0.9487179487179487,0.925,0.9367088607594937,0.58,0.5655737704918032,0.69,0.6216216216216215,0.585,0.5858585858585859,0.58,0.5829145728643216,159.09444688304,6.917502414920265e-09
0.9458333333333333,0.9572649572649573,0.9333333333333333,0.9451476793248945,0.63,0.6120689655172413,0.71,0.6574074074074073,0.66,0.6702127659574468,0.63,0.6494845360824743,134.15052419701135,7.991797113028465e-09
0.9208333333333333,0.9469026548672567,0.8916666666666667,0.9184549356223176,0.59,0.59,0.59,0.59,0.63,0.6444444444444445,0.58,0.6105263157894737,149.63686003427512,8.142539060351935e-09
0.9208333333333333,0.9243697478991597,0.9166666666666666,0.9205020920502092,0.42,0.3974358974358974,0.31,0.34831460674157305,0.46,0.45652173913043476,0.42,0.43749999999999994,224.5078701446413,8.281423151334732e-09
0.9125,0.9380530973451328,0.8833333333333333,0.9098712446351931,0.505,0.5043478260869565,0.58,0.5395348837209302,0.52,0.5196078431372549,0.53,0.5247524752475248,167.79676948435147,9.627389008139586e-07
0.9375,0.9646017699115044,0.9083333333333333,0.9356223175965666,0.34,0.35454545454545455,0.39,0.3714285714285714,0.39,0.39,0.39,0.39,235.49568282162343,9.32033299177726e-09
0.9125,0.9230769230769231,0.9,0.9113924050632911,0.545,0.5384615384615384,0.63,0.5806451612903226,0.59,0.59375,0.57,0.5816326530612245,158.45748229184437,7.834975805729866e-09
0.9125,0.9230769230769231,0.9,0.9113924050632911,0.485,0.4881889763779528,0.62,0.5462555066079294,0.565,0.5596330275229358,0.61,0.583732057416268,178.17931173802248,6.910521204602794e-09
0.9125,0.9159663865546218,0.9083333333333333,0.9121338912133891,0.695,0.7241379310344828,0.63,0.6737967914438503,0.68,0.6730769230769231,0.7,0.6862745098039216,112.62834546855171,8.198796043585462e-09
0.9666666666666667,0.9827586206896551,0.95,0.9661016949152542,0.76,0.76,0.76,0.76,0.745,0.7578947368421053,0.72,0.7384615384615385,101.85679459145427,7.282355566022664e-09
0.9125,0.9459459459459459,0.875,0.9090909090909091,0.405,0.3956043956043956,0.36,0.37696335078534027,0.45,0.44565217391304346,0.41,0.4270833333333333,223.18483920865393,7.787662412417116e-09
0.9208333333333333,0.954954954954955,0.8833333333333333,0.9177489177489178,0.295,0.30097087378640774,0.31,0.3054187192118227,0.4,0.3888888888888889,0.35,0.36842105263157887,231.95904016436089,8.767681066787589e-09
0.925,0.9636363636363636,0.8833333333333333,0.9217391304347826,0.595,0.5871559633027523,0.64,0.6124401913875598,0.585,0.5858585858585859,0.58,0.5829145728643216,148.8020065557196,8.088416924089521e-09
0.95,0.9576271186440678,0.9416666666666667,0.9495798319327732,0.695,0.6788990825688074,0.74,0.7081339712918661,0.645,0.6407766990291263,0.66,0.6502463054187193,145.88231175296696,7.773726178010129e-09
0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.52,0.5222222222222223,0.47,0.49473684210526314,0.51,0.5106382978723404,0.48,0.49484536082474223,194.17835898814934,8.02750379121072e-09
0.9291666666666667,0.963963963963964,0.8916666666666667,0.9264069264069265,0.49,0.4921875,0.63,0.5526315789473685,0.515,0.5151515151515151,0.51,0.5125628140703518,196.71180628435968,8.696016549328136e-09
0.9541666666666667,0.9739130434782609,0.9333333333333333,0.9531914893617022,0.345,0.36283185840707965,0.41,0.3849765258215962,0.475,0.47474747474747475,0.47,0.4723618090452262,224.08174341173475,7.323927598731032e-09
0.9375,0.9411764705882353,0.9333333333333333,0.9372384937238494,0.58,0.5754716981132075,0.61,0.5922330097087378,0.65,0.6530612244897959,0.64,0.6464646464646464,148.1652396633889,7.297453650494523e-09
0.9083333333333333,0.9454545454545454,0.8666666666666667,0.9043478260869566,0.31,0.30612244897959184,0.3,0.3030303030303031,0.405,0.4095238095238095,0.43,0.41951219512195115,265.0468116274433,8.621282624264727e-09
0.925,0.925,0.925,0.925,0.74,0.7307692307692307,0.76,0.7450980392156863,0.745,0.7378640776699029,0.76,0.7487684729064039,102.78141131786288,9.259889819054806e-09
0.8958333333333334,0.9279279279279279,0.8583333333333333,0.8917748917748917,0.5,0.5,0.48,0.4897959183673469,0.515,0.5164835164835165,0.47,0.49214659685863876,185.09605414631358,8.006678134957612e-09
0.9166666666666666,0.9385964912280702,0.8916666666666667,0.9145299145299146,0.75,0.7272727272727273,0.8,0.761904761904762,0.63,0.625,0.65,0.6372549019607844,113.26673261733283,8.473722985646411e-09
0.9375,0.9411764705882353,0.9333333333333333,0.9372384937238494,0.475,0.4725274725274725,0.43,0.45026178010471196,0.49,0.48936170212765956,0.46,0.4742268041237113,204.60975564480412,8.159335755333397e-09
0.8791666666666667,0.8888888888888888,0.8666666666666667,0.8776371308016878,0.48,0.4827586206896552,0.56,0.5185185185185185,0.565,0.5698924731182796,0.53,0.5492227979274611,174.13133375429072,9.432218495390365e-09
0.9166666666666666,0.9545454545454546,0.875,0.9130434782608695,0.775,0.7835051546391752,0.76,0.7715736040609137,0.69,0.7065217391304348,0.65,0.6770833333333333,98.08947337516153,9.048331786049153e-09
0.9333333333333333,0.956140350877193,0.9083333333333333,0.9316239316239316,0.375,0.3893805309734513,0.44,0.4131455399061033,0.42,0.42452830188679247,0.45,0.4368932038834952,240.15838710638505,5.754224168378545e-09
0.9125,0.9380530973451328,0.8833333333333333,0.9098712446351931,0.66,0.6702127659574468,0.63,0.6494845360824743,0.64,0.6428571428571429,0.63,0.6363636363636364,124.41020268902925,9.167459401275959e-09
0.9208333333333333,0.9316239316239316,0.9083333333333333,0.919831223628692,0.54,0.5350877192982456,0.61,0.5700934579439252,0.585,0.5876288659793815,0.57,0.5786802030456853,159.84060012409898,8.999231771398001e-09
0.925,0.9473684210526315,0.9,0.9230769230769231,0.705,0.6952380952380952,0.73,0.7121951219512195,0.75,0.7659574468085106,0.72,0.7422680412371133,107.00502857079542,9.566180898873002e-09
0.925,0.9473684210526315,0.9,0.9230769230769231,0.32,0.3524590163934426,0.43,0.38738738738738737,0.43,0.4351851851851852,0.47,0.4519230769230769,235.52610254272065,6.266599204678447e-09
0.9208333333333333,0.9243697478991597,0.9166666666666666,0.9205020920502092,0.625,0.6288659793814433,0.61,0.6192893401015229,0.65,0.65625,0.63,0.6428571428571429,128.38252540947593,7.336180313103608e-09
0.9291666666666667,0.9478260869565217,0.9083333333333333,0.9276595744680851,0.68,0.6956521739130435,0.64,0.6666666666666666,0.665,0.6896551724137931,0.6,0.641711229946524,117.8108347302384,8.604231792697818e-09
0.8875,0.8907563025210085,0.8833333333333333,0.8870292887029289,0.505,0.5048543689320388,0.52,0.5123152709359606,0.52,0.52,0.52,0.52,152.26988272820373,9.71576943585628e-09
0.9208333333333333,0.9316239316239316,0.9083333333333333,0.919831223628692,0.345,0.376,0.47,0.41777777777777775,0.38,0.375,0.36,0.3673469387755102,235.55402337332674,7.142169075568086e-09
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.57,0.574468085106383,0.54,0.5567010309278351,0.59,0.5957446808510638,0.56,0.577319587628866,154.03877380176348,7.660560138944181e-09
0.9125,0.9459459459459459,0.875,0.9090909090909091,0.46,0.46296296296296297,0.5,0.4807692307692307,0.515,0.5154639175257731,0.5,0.5076142131979695,196.94499436696242,7.978666497100898e-09
0.9083333333333333,0.9152542372881356,0.9,0.9075630252100839,0.43,0.4375,0.49,0.4622641509433962,0.52,0.5204081632653061,0.51,0.5151515151515151,193.14396496167052,6.309384947117183e-09
0.9125,0.9159663865546218,0.9083333333333333,0.9121338912133891,0.565,0.5698924731182796,0.53,0.5492227979274611,0.56,0.5652173913043478,0.52,0.5416666666666667,164.82422451856772,6.59176955355693e-09
0.9291666666666667,0.9478260869565217,0.9083333333333333,0.9276595744680851,0.405,0.41284403669724773,0.45,0.430622009569378,0.47,0.46938775510204084,0.46,0.46464646464646464,233.82446258727887,8.113454024402416e-09
0.9208333333333333,0.954954954954955,0.8833333333333333,0.9177489177489178,0.53,0.5306122448979592,0.52,0.5252525252525252,0.525,0.5252525252525253,0.52,0.5226130653266332,176.60268378240787,7.818521557784917e-09
