target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,original_score
0.8541666666666666,0.8761061946902655,0.825,0.849785407725322,0.635,0.6391752577319587,0.62,0.6294416243654821,0.685,0.6907216494845361,0.67,0.6802030456852791,0.06105068447519729,0.08617205885701403
0.8625,0.8717948717948718,0.85,0.8607594936708861,0.72,0.72,0.72,0.72,0.67,0.6770833333333334,0.65,0.6632653061224489,0.053486098896229,0.04380420590883144
0.8333333333333334,0.8448275862068966,0.8166666666666667,0.8305084745762712,0.715,0.7362637362637363,0.67,0.7015706806282723,0.68,0.6730769230769231,0.7,0.6862745098039216,0.05194522224455567,0.055522737922927404
0.825,0.8305084745762712,0.8166666666666667,0.8235294117647058,0.665,0.6813186813186813,0.62,0.6492146596858639,0.685,0.6907216494845361,0.67,0.6802030456852791,0.05507643903753771,0.061308781067666296
0.8666666666666667,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.645,0.6407766990291263,0.66,0.6502463054187193,0.665,0.6853932584269663,0.61,0.6455026455026455,0.051522171663615626,0.07455848081010726
0.875,0.8947368421052632,0.85,0.8717948717948718,0.685,0.6761904761904762,0.71,0.6926829268292682,0.68,0.68,0.68,0.68,0.05870443356125277,0.06898255541422858
0.8708333333333333,0.8617886178861789,0.8833333333333333,0.8724279835390947,0.6,0.6111111111111112,0.55,0.5789473684210527,0.635,0.6310679611650486,0.65,0.6403940886699507,0.06967968473238913,0.0788018248808015
0.8375,0.8403361344537815,0.8333333333333334,0.8368200836820084,0.635,0.6451612903225806,0.6,0.6217616580310881,0.675,0.6842105263157895,0.65,0.6666666666666667,0.04752883066869157,0.07559751105547338
0.825,0.8611111111111112,0.775,0.8157894736842106,0.75,0.7717391304347826,0.71,0.7395833333333333,0.705,0.7157894736842105,0.68,0.6974358974358974,0.03936830274943026,0.05375720343864551
0.8958333333333334,0.9203539823008849,0.8666666666666667,0.8927038626609441,0.645,0.6593406593406593,0.6,0.6282722513089005,0.685,0.6868686868686869,0.68,0.6834170854271356,0.07444409969907394,0.08769206105607244
