,train_male_acc,test_male_acc,train_male_elective_male_emergency_acc,test_male_elective_male_emergency_acc,train_male_elective_female_emergency_acc,test_male_elective_female_emergency_acc,train_male_elective_trans_female_emergency_acc,test_male_elective_trans_female_emergency_acc
0,0.7833333333333333,0.4625,0.8333333333333334,0.5625,0.7863636363636364,0.5625,0.7181818181818181,0.425
1,0.7833333333333333,0.675,0.8125,0.5125,0.7772727272727272,0.525,0.7272727272727273,0.575
2,0.8333333333333334,0.65,0.8666666666666667,0.525,0.8363636363636363,0.7,0.8227272727272728,0.675
3,0.8166666666666667,0.625,0.8333333333333334,0.55,0.8181818181818182,0.6625,0.7863636363636364,0.6625
4,0.875,0.4125,0.8416666666666667,0.4375,0.7909090909090909,0.4875,0.7863636363636364,0.4375
5,0.7916666666666666,0.5875,0.8291666666666667,0.6375,0.8045454545454546,0.65,0.75,0.625
6,0.8,0.575,0.8625,0.4875,0.7818181818181819,0.6,0.759090909090909,0.5375
7,0.8333333333333334,0.6625,0.8583333333333333,0.7625,0.7227272727272728,0.675,0.7454545454545455,0.7125
8,0.8666666666666667,0.6125,0.8541666666666666,0.3875,0.8409090909090909,0.575,0.8090909090909091,0.6125
9,0.8583333333333333,0.375,0.8625,0.4875,0.8181818181818182,0.425,0.7909090909090909,0.3875
10,0.8416666666666667,0.3625,0.8041666666666667,0.775,0.7681818181818182,0.5,0.6909090909090909,0.375
11,0.7583333333333333,0.4625,0.8,0.5375,0.7681818181818182,0.4,0.7818181818181819,0.5375
12,0.8833333333333333,0.75,0.8125,0.7875,0.759090909090909,0.65,0.7681818181818182,0.65
13,0.7583333333333333,0.4875,0.8125,0.4125,0.7636363636363637,0.5125,0.7136363636363636,0.475
14,0.85,0.675,0.8375,0.5625,0.7681818181818182,0.525,0.7636363636363637,0.4875
15,0.85,0.5875,0.8208333333333333,0.4625,0.8681818181818182,0.5875,0.7954545454545454,0.5375
16,0.825,0.75,0.8375,0.3625,0.8090909090909091,0.6875,0.8090909090909091,0.825
17,0.8083333333333333,0.45,0.8416666666666667,0.4625,0.7772727272727272,0.55,0.740909090909091,0.5375
18,0.825,0.55,0.8,0.575,0.7772727272727272,0.6,0.7863636363636364,0.6
19,0.8416666666666667,0.35,0.8375,0.35,0.759090909090909,0.35,0.7545454545454545,0.3875
