target_accuracy,target_f1,source_accuracy,source_f1,trans_source_accuracy,trans_source_f1
0.9875,0.9874476987447698,0.93,0.9320388349514563,0.935,0.9353233830845772
0.9875,0.9876543209876543,0.94,0.9387755102040817,0.96,0.9603960396039604
0.9791666666666666,0.979253112033195,0.06,0.03092783505154639,0.115,0.11055276381909547
0.9916666666666667,0.9917355371900827,0.945,0.9435897435897437,0.95,0.9500000000000001
0.9916666666666667,0.9916666666666667,0.065,0.06965174129353234,0.145,0.15763546798029557
0.9833333333333333,0.9834710743801653,0.075,0.05128205128205128,0.07,0.08823529411764706
0.9708333333333333,0.970954356846473,0.115,0.11055276381909547,0.145,0.15763546798029557
0.9791666666666666,0.9794238683127573,0.06,0.06930693069306931,0.08,0.08
0.9833333333333333,0.9836065573770492,0.9,0.9,0.9,0.9019607843137256
0.9875,0.9876543209876543,0.91,0.911764705882353,0.9,0.900990099009901
0.9916666666666667,0.9916666666666667,0.07,0.07,0.12,0.12
1.0,1.0,0.91,0.9174311926605504,0.89,0.8910891089108911
0.9791666666666666,0.979253112033195,0.07,0.051020408163265314,0.135,0.1306532663316583
0.9833333333333333,0.9833333333333333,0.965,0.964824120603015,0.915,0.9154228855721394
0.9791666666666666,0.9794238683127573,0.95,0.9494949494949495,0.935,0.9353233830845772
0.9833333333333333,0.9833333333333333,0.94,0.9411764705882353,0.89,0.89
0.975,0.9754098360655739,0.045,0.04975124378109454,0.13,0.14705882352941177
0.9791666666666666,0.9790794979079498,0.09,0.0808080808080808,0.11,0.11
0.9708333333333333,0.97119341563786,0.925,0.9253731343283582,0.93,0.9306930693069307
0.9833333333333333,0.9834710743801653,0.95,0.9509803921568627,0.925,0.9253731343283582
0.9833333333333333,0.9834710743801653,0.03,0.0396039603960396,0.08,0.09803921568627451
0.975,0.9754098360655739,0.08,0.061224489795918366,0.085,0.09852216748768475
0.9708333333333333,0.9714285714285714,0.045,0.04975124378109454,0.11,0.12745098039215685
0.9833333333333333,0.9834710743801653,0.12,0.05376344086021505,0.175,0.1708542713567839
0.9833333333333333,0.9833333333333333,0.945,0.9441624365482233,0.91,0.9108910891089109
0.9791666666666666,0.9794238683127573,0.96,0.96,0.94,0.9405940594059405
0.9875,0.9876543209876543,0.93,0.9326923076923077,0.89,0.89
0.9666666666666667,0.9669421487603306,0.965,0.9651741293532338,0.955,0.9556650246305418
0.9916666666666667,0.9917355371900827,0.06,0.06930693069306931,0.105,0.11822660098522167
0.9791666666666666,0.9794238683127573,0.935,0.9333333333333333,0.91,0.9108910891089109
