target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,w_dist
0.8791666666666667,0.864,0.9,0.8816326530612244,0.635,0.6391752577319587,0.62,0.6294416243654821,0.655,0.6504854368932039,0.67,0.6600985221674877,132.46356109732298,9.331521393408181e-09
0.8583333333333333,0.8771929824561403,0.8333333333333334,0.8547008547008548,0.635,0.6451612903225806,0.6,0.6217616580310881,0.61,0.6222222222222222,0.56,0.5894736842105264,131.34355655052957,1.6602378294624951e-06
0.8875,0.8661417322834646,0.9166666666666666,0.8906882591093117,0.64,0.6590909090909091,0.58,0.6170212765957446,0.635,0.6261682242990654,0.67,0.6473429951690821,129.46838827989822,7.511234119780193e-09
0.8875,0.9043478260869565,0.8666666666666667,0.8851063829787233,0.62,0.62,0.62,0.62,0.585,0.5876288659793815,0.57,0.5786802030456853,163.79085810878883,1.0407403230751961e-08
0.8833333333333333,0.8898305084745762,0.875,0.8823529411764707,0.585,0.5934065934065934,0.54,0.5654450261780104,0.585,0.5794392523364486,0.62,0.5990338164251208,166.3671093396252,8.93223512918294e-09
0.85,0.868421052631579,0.825,0.8461538461538461,0.64,0.6346153846153846,0.66,0.6470588235294118,0.715,0.7216494845360825,0.7,0.7106598984771574,106.23640126266677,9.837692463360041e-09
0.8708333333333333,0.8869565217391304,0.85,0.8680851063829788,0.67,0.6976744186046512,0.6,0.6451612903225806,0.665,0.6813186813186813,0.62,0.6492146596858639,135.20235969885255,8.469773659238379e-09
0.8541666666666666,0.84,0.875,0.8571428571428572,0.625,0.6404494382022472,0.57,0.6031746031746033,0.695,0.6857142857142857,0.72,0.702439024390244,138.87382907215172,8.449371761450652e-09
0.8833333333333333,0.896551724137931,0.8666666666666667,0.8813559322033899,0.59,0.6,0.54,0.5684210526315789,0.585,0.5876288659793815,0.57,0.5786802030456853,157.40660604655767,9.825038788483447e-09
0.8708333333333333,0.8739495798319328,0.8666666666666667,0.8702928870292886,0.67,0.6847826086956522,0.63,0.6562500000000001,0.685,0.6907216494845361,0.67,0.6802030456852791,116.71316240505664,7.051793324313868e-09
0.8666666666666667,0.8793103448275862,0.85,0.864406779661017,0.6,0.6136363636363636,0.54,0.574468085106383,0.58,0.58,0.58,0.58,148.83148951357742,8.42121571715832e-09
0.8583333333333333,0.8467741935483871,0.875,0.8606557377049181,0.585,0.5913978494623656,0.55,0.5699481865284974,0.615,0.6161616161616161,0.61,0.6130653266331657,174.75647466654044,8.232111832654864e-09
0.875,0.9166666666666666,0.825,0.8684210526315789,0.62,0.625,0.6,0.6122448979591836,0.595,0.5979381443298969,0.58,0.5888324873096447,159.24838348245976,9.066674514839412e-09
0.8375,0.8461538461538461,0.825,0.8354430379746836,0.6,0.6041666666666666,0.58,0.5918367346938774,0.585,0.5894736842105263,0.56,0.5743589743589743,141.9090759930623,7.652569618552214e-09
0.8916666666666667,0.8983050847457628,0.8833333333333333,0.8907563025210085,0.62,0.62,0.62,0.62,0.65,0.6530612244897959,0.64,0.6464646464646464,136.80921676247365,4.8203543998233e-07
0.9,0.9,0.9,0.9,0.595,0.6144578313253012,0.51,0.5573770491803278,0.64,0.6372549019607843,0.65,0.6435643564356436,133.76890904338666,9.758093640167494e-09
0.8333333333333334,0.8571428571428571,0.8,0.8275862068965518,0.575,0.5862068965517241,0.51,0.5454545454545454,0.615,0.6116504854368932,0.63,0.6206896551724137,131.5849578394862,1.7536417824051693e-06
0.8833333333333333,0.859375,0.9166666666666666,0.8870967741935484,0.58,0.5851063829787234,0.55,0.5670103092783506,0.625,0.6262626262626263,0.62,0.6231155778894472,136.04100452673748,8.869716383637165e-09
0.8833333333333333,0.9035087719298246,0.8583333333333333,0.8803418803418803,0.635,0.6421052631578947,0.61,0.6256410256410256,0.61,0.6195652173913043,0.57,0.59375,122.22928189778219,8.71624490847795e-09
0.8708333333333333,0.8869565217391304,0.85,0.8680851063829788,0.64,0.6666666666666666,0.56,0.6086956521739131,0.61,0.6078431372549019,0.62,0.6138613861386139,111.9348819911296,8.840516473354189e-09
0.8541666666666666,0.8512396694214877,0.8583333333333333,0.8547717842323651,0.655,0.6781609195402298,0.59,0.6310160427807486,0.635,0.6336633663366337,0.64,0.6368159203980099,136.74911761159026,9.976844390375172e-09
0.8666666666666667,0.8492063492063492,0.8916666666666667,0.8699186991869918,0.66,0.6739130434782609,0.62,0.6458333333333334,0.655,0.6476190476190476,0.68,0.6634146341463415,129.90644013011206,9.982568769059692e-09
0.8791666666666667,0.8956521739130435,0.8583333333333333,0.8765957446808511,0.595,0.6144578313253012,0.51,0.5573770491803278,0.665,0.6701030927835051,0.65,0.6598984771573604,145.5324458961481,1.1681433708161456e-07
0.8791666666666667,0.8760330578512396,0.8833333333333333,0.8796680497925311,0.615,0.6352941176470588,0.54,0.5837837837837837,0.695,0.6857142857142857,0.72,0.702439024390244,126.57954058021267,9.740876710956086e-09
