target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,original_score
0.825,0.8421052631578947,0.8,0.8205128205128205,0.675,0.6804123711340206,0.66,0.6700507614213199,0.615,0.6236559139784946,0.58,0.6010362694300518,0.06826706470415041,0.06044789332546643
0.8541666666666666,0.8455284552845529,0.8666666666666667,0.8559670781893004,0.695,0.7241379310344828,0.63,0.6737967914438503,0.705,0.6880733944954128,0.75,0.7177033492822965,0.057777486617451586,0.06361656441020842
0.8208333333333333,0.8130081300813008,0.8333333333333334,0.8230452674897119,0.595,0.6,0.57,0.5846153846153846,0.635,0.6363636363636364,0.63,0.6331658291457286,0.07221265003007514,0.06776666319568576
0.8333333333333334,0.8636363636363636,0.7916666666666666,0.8260869565217391,0.665,0.6774193548387096,0.63,0.6528497409326425,0.635,0.6336633663366337,0.64,0.6368159203980099,0.072707411979079,0.05927835796705331
0.7458333333333333,0.7521367521367521,0.7333333333333333,0.7426160337552742,0.635,0.651685393258427,0.58,0.6137566137566138,0.685,0.6989247311827957,0.65,0.6735751295336787,0.043139537004749394,0.06419132151854137
0.7875,0.7851239669421488,0.7916666666666666,0.7883817427385892,0.665,0.6853932584269663,0.61,0.6455026455026455,0.625,0.6262626262626263,0.62,0.6231155778894472,0.052664674861349986,0.06279605809528463
0.7791666666666667,0.7768595041322314,0.7833333333333333,0.7800829875518671,0.66,0.7,0.56,0.6222222222222222,0.655,0.6597938144329897,0.64,0.6497461928934011,0.05904666892766807,0.05910452130188171
0.8375,0.8403361344537815,0.8333333333333334,0.8368200836820084,0.71,0.71,0.71,0.7100000000000001,0.685,0.6761904761904762,0.71,0.6926829268292682,0.05564415958039983,0.04993516266502142
0.7958333333333333,0.808695652173913,0.775,0.7914893617021276,0.725,0.7368421052631579,0.7,0.717948717948718,0.7,0.7040816326530612,0.69,0.6969696969696969,0.07085077671116537,0.040255543984469656
0.8208333333333333,0.8290598290598291,0.8083333333333333,0.818565400843882,0.725,0.7647058823529411,0.65,0.7027027027027027,0.675,0.6804123711340206,0.66,0.6700507614213199,0.07409684566564108,0.06406615708215323
0.8458333333333333,0.8608695652173913,0.825,0.8425531914893616,0.605,0.6153846153846154,0.56,0.5863874345549739,0.64,0.6458333333333334,0.62,0.6326530612244898,0.04698015884604216,0.07359059531202394
0.8666666666666667,0.8793103448275862,0.85,0.864406779661017,0.73,0.7395833333333334,0.71,0.7244897959183674,0.66,0.6702127659574468,0.63,0.6494845360824743,0.06024530903573443,0.047441406812777046
0.7833333333333333,0.7931034482758621,0.7666666666666667,0.7796610169491527,0.66,0.6904761904761905,0.58,0.6304347826086957,0.645,0.6407766990291263,0.66,0.6502463054187193,0.05770259201062979,0.05974208122590409
0.8166666666666667,0.8220338983050848,0.8083333333333333,0.8151260504201682,0.71,0.71875,0.69,0.7040816326530612,0.605,0.6039603960396039,0.61,0.6069651741293532,0.0818146761481188,0.0634617637399041
0.7875,0.7948717948717948,0.775,0.7848101265822786,0.68,0.68,0.68,0.68,0.68,0.6764705882352942,0.69,0.6831683168316831,0.04088930898690649,0.04468982378120773
0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.72,0.75,0.66,0.702127659574468,0.67,0.6808510638297872,0.64,0.6597938144329897,0.05970031985500301,0.057816509834021264
0.8458333333333333,0.8429752066115702,0.85,0.846473029045643,0.7,0.7325581395348837,0.63,0.6774193548387097,0.67,0.6634615384615384,0.69,0.6764705882352942,0.06517531762408514,0.05210203004058492
0.7958333333333333,0.7983193277310925,0.7916666666666666,0.7949790794979078,0.7,0.7272727272727273,0.64,0.6808510638297872,0.69,0.6938775510204082,0.68,0.686868686868687,0.06278082276259796,0.06257796506062249
0.7791666666666667,0.7768595041322314,0.7833333333333333,0.7800829875518671,0.655,0.6703296703296703,0.61,0.6387434554973822,0.655,0.6534653465346535,0.66,0.6567164179104478,0.04698157718865034,0.053170563536828204
0.7875,0.7851239669421488,0.7916666666666666,0.7883817427385892,0.67,0.6770833333333334,0.65,0.6632653061224489,0.665,0.6666666666666666,0.66,0.6633165829145728,0.04331183387154426,0.05889448966131617
0.85,0.868421052631579,0.825,0.8461538461538461,0.76,0.7653061224489796,0.75,0.7575757575757575,0.695,0.7010309278350515,0.68,0.6903553299492386,0.04615655732628153,0.05093718301811488
0.825,0.8305084745762712,0.8166666666666667,0.8235294117647058,0.71,0.7386363636363636,0.65,0.6914893617021277,0.69,0.6938775510204082,0.68,0.686868686868687,0.06981885305288278,0.0452187580172384
0.8166666666666667,0.8275862068965517,0.8,0.8135593220338982,0.685,0.6907216494845361,0.67,0.6802030456852791,0.625,0.6237623762376238,0.63,0.6268656716417911,0.06803871743714163,0.05952776539727256
0.8,0.7903225806451613,0.8166666666666667,0.8032786885245902,0.65,0.6666666666666666,0.6,0.631578947368421,0.66,0.66,0.66,0.66,0.06303340177612438,0.0648173702840247
0.7958333333333333,0.7933884297520661,0.8,0.7966804979253113,0.645,0.6526315789473685,0.62,0.635897435897436,0.685,0.6796116504854369,0.7,0.6896551724137931,0.05724757326423363,0.06211858547182026
0.825,0.8362068965517241,0.8083333333333333,0.8220338983050848,0.645,0.6593406593406593,0.6,0.6282722513089005,0.615,0.6138613861386139,0.62,0.6169154228855721,0.05481293051082483,0.059263935285670526
0.825,0.825,0.825,0.825,0.655,0.6631578947368421,0.63,0.6461538461538461,0.655,0.6597938144329897,0.64,0.6497461928934011,0.06907219100710642,0.04892683319037457
0.8291666666666667,0.8495575221238938,0.8,0.8240343347639485,0.685,0.7176470588235294,0.61,0.6594594594594595,0.635,0.6336633663366337,0.64,0.6368159203980099,0.08210330796944264,0.06498915943937053
0.825,0.8482142857142857,0.7916666666666666,0.8189655172413793,0.655,0.6476190476190476,0.68,0.6634146341463415,0.605,0.6129032258064516,0.57,0.5906735751295337,0.07899273875621866,0.05282391508387787
0.85,0.8559322033898306,0.8416666666666667,0.8487394957983194,0.645,0.6705882352941176,0.57,0.6162162162162161,0.6,0.6041666666666666,0.58,0.5918367346938774,0.08562623898217053,0.06405160151386703
0.8291666666666667,0.8264462809917356,0.8333333333333334,0.8298755186721992,0.66,0.6702127659574468,0.63,0.6494845360824743,0.635,0.6363636363636364,0.63,0.6331658291457286,0.058295341348719734,0.05765852549983611
0.8375,0.8461538461538461,0.825,0.8354430379746836,0.7,0.7083333333333334,0.68,0.6938775510204083,0.67,0.6666666666666666,0.68,0.6732673267326733,0.06462046234649711,0.046337342109295195
0.825,0.8362068965517241,0.8083333333333333,0.8220338983050848,0.69,0.7021276595744681,0.66,0.6804123711340208,0.635,0.6336633663366337,0.64,0.6368159203980099,0.06656282024278853,0.06806434030733459
0.8291666666666667,0.8434782608695652,0.8083333333333333,0.8255319148936171,0.64,0.6428571428571429,0.63,0.6363636363636364,0.62,0.625,0.6,0.6122448979591836,0.06682636181590264,0.0779084051727826
0.7958333333333333,0.7983193277310925,0.7916666666666666,0.7949790794979078,0.695,0.7052631578947368,0.67,0.6871794871794872,0.69,0.6862745098039216,0.7,0.693069306930693,0.03776114817233986,0.04603524207638991
0.8458333333333333,0.8373983739837398,0.8583333333333333,0.8477366255144032,0.685,0.7126436781609196,0.62,0.6631016042780749,0.645,0.6435643564356436,0.65,0.6467661691542289,0.06030063579769171,0.06622628383437316
0.8208333333333333,0.8181818181818182,0.825,0.8215767634854773,0.695,0.7191011235955056,0.64,0.6772486772486772,0.665,0.6601941747572816,0.68,0.6699507389162562,0.0638555896027237,0.055439981367505234
0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.62,0.6395348837209303,0.55,0.5913978494623656,0.615,0.6095238095238096,0.64,0.624390243902439,0.05679309544253173,0.05136800276691551
0.8208333333333333,0.8347826086956521,0.8,0.8170212765957447,0.695,0.7010309278350515,0.68,0.6903553299492386,0.655,0.6504854368932039,0.67,0.6600985221674877,0.04321410189604899,0.045931883157095996
0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.675,0.6881720430107527,0.64,0.6632124352331608,0.665,0.6701030927835051,0.65,0.6598984771573604,0.05702799039571526,0.05634338394887529
0.8,0.8103448275862069,0.7833333333333333,0.7966101694915254,0.66,0.6702127659574468,0.63,0.6494845360824743,0.645,0.6494845360824743,0.63,0.6395939086294417,0.061433616564306015,0.05903013875484111
0.8375,0.8648648648648649,0.8,0.8311688311688312,0.685,0.6947368421052632,0.66,0.676923076923077,0.645,0.6464646464646465,0.64,0.6432160804020101,0.06748795002594421,0.05186439292240969
0.8208333333333333,0.8130081300813008,0.8333333333333334,0.8230452674897119,0.68,0.6914893617021277,0.65,0.6701030927835052,0.68,0.6698113207547169,0.71,0.6893203883495145,0.048232416568825535,0.047087166428147614
0.8208333333333333,0.8031496062992126,0.85,0.825910931174089,0.72,0.75,0.66,0.702127659574468,0.755,0.7628865979381443,0.74,0.7512690355329948,0.051696186659233714,0.04785704632433921
0.7791666666666667,0.7863247863247863,0.7666666666666667,0.7763713080168777,0.72,0.72,0.72,0.72,0.645,0.6435643564356436,0.65,0.6467661691542289,0.0501817573592819,0.05125636496618699
0.8125,0.7952755905511811,0.8416666666666667,0.8178137651821863,0.735,0.7326732673267327,0.74,0.7363184079601991,0.71,0.6909090909090909,0.76,0.7238095238095238,0.04585776388556145,0.05297565063409725
0.8458333333333333,0.8608695652173913,0.825,0.8425531914893616,0.685,0.6907216494845361,0.67,0.6802030456852791,0.67,0.67,0.67,0.67,0.04404497545320211,0.06365869920563794
0.7625,0.7787610619469026,0.7333333333333333,0.7553648068669528,0.625,0.631578947368421,0.6,0.6153846153846154,0.68,0.6836734693877551,0.67,0.6767676767676768,0.04948688826176732,0.0513860734278476
0.8208333333333333,0.8235294117647058,0.8166666666666667,0.8200836820083681,0.685,0.6796116504854369,0.7,0.6896551724137931,0.66,0.66,0.66,0.66,0.051163029766617435,0.0574872259710138
0.8291666666666667,0.8434782608695652,0.8083333333333333,0.8255319148936171,0.72,0.7115384615384616,0.74,0.7254901960784313,0.655,0.6565656565656566,0.65,0.6532663316582915,0.07313057100982756,0.048119290003376614
0.7791666666666667,0.7863247863247863,0.7666666666666667,0.7763713080168777,0.705,0.7530864197530864,0.61,0.6740331491712707,0.685,0.6907216494845361,0.67,0.6802030456852791,0.052636105661926745,0.037323996099986365
0.8,0.7950819672131147,0.8083333333333333,0.8016528925619835,0.665,0.6853932584269663,0.61,0.6455026455026455,0.63,0.63,0.63,0.63,0.06319228168850666,0.048965696521852856
0.7875,0.7948717948717948,0.775,0.7848101265822786,0.685,0.6831683168316832,0.69,0.6865671641791044,0.665,0.6633663366336634,0.67,0.6666666666666667,0.058778308404449725,0.0477180241929852
0.8416666666666667,0.8596491228070176,0.8166666666666667,0.8376068376068376,0.695,0.693069306930693,0.7,0.6965174129353233,0.69,0.6938775510204082,0.68,0.686868686868687,0.06406695037938026,0.052222657614241774
0.8041666666666667,0.8067226890756303,0.8,0.803347280334728,0.715,0.7216494845360825,0.7,0.7106598984771574,0.695,0.696969696969697,0.69,0.6934673366834171,0.057977851610966975,0.06967861255194341
0.8125,0.8205128205128205,0.8,0.810126582278481,0.6,0.6162790697674418,0.53,0.5698924731182796,0.59,0.5918367346938775,0.58,0.5858585858585857,0.07590759939537758,0.06858529523960273
0.7916666666666666,0.8017241379310345,0.775,0.788135593220339,0.705,0.7252747252747253,0.66,0.6910994764397906,0.7,0.7,0.7,0.7,0.03973032659427783,0.03760937271784884
0.8375,0.8292682926829268,0.85,0.8395061728395061,0.67,0.7073170731707317,0.58,0.6373626373626374,0.675,0.6635514018691588,0.71,0.6859903381642511,0.07014005925662625,0.0817554836913391
0.7708333333333334,0.7927927927927928,0.7333333333333333,0.7619047619047619,0.685,0.7032967032967034,0.64,0.6701570680628273,0.6,0.6063829787234043,0.57,0.5876288659793814,0.06776070202308127,0.04683474905225492
0.8541666666666666,0.897196261682243,0.8,0.8458149779735684,0.73,0.7446808510638298,0.7,0.7216494845360825,0.695,0.7052631578947368,0.67,0.6871794871794872,0.06545143843072271,0.053902225904001407
0.8166666666666667,0.8275862068965517,0.8,0.8135593220338982,0.735,0.7701149425287356,0.67,0.716577540106952,0.685,0.6868686868686869,0.68,0.6834170854271356,0.045542102025404284,0.04724586542314653
0.8708333333333333,0.8739495798319328,0.8666666666666667,0.8702928870292886,0.69,0.6979166666666666,0.67,0.6836734693877551,0.63,0.6354166666666666,0.61,0.6224489795918368,0.0681683091397538,0.0680891998023573
0.7875,0.7851239669421488,0.7916666666666666,0.7883817427385892,0.705,0.7070707070707071,0.7,0.7035175879396985,0.685,0.6761904761904762,0.71,0.6926829268292682,0.06113044550342826,0.05639042239862429
0.8125,0.8151260504201681,0.8083333333333333,0.8117154811715481,0.65,0.6530612244897959,0.64,0.6464646464646464,0.69,0.6938775510204082,0.68,0.686868686868687,0.07322753448374963,0.07897369762999248
0.825,0.8145161290322581,0.8416666666666667,0.8278688524590163,0.72,0.7291666666666666,0.7,0.7142857142857142,0.685,0.6796116504854369,0.7,0.6896551724137931,0.050618651609710526,0.05395580988436452
0.8458333333333333,0.8487394957983193,0.8416666666666667,0.8451882845188284,0.67,0.6808510638297872,0.64,0.6597938144329897,0.635,0.6363636363636364,0.63,0.6331658291457286,0.04943513638840242,0.07724887166614208
0.8666666666666667,0.8728813559322034,0.8583333333333333,0.865546218487395,0.655,0.6631578947368421,0.63,0.6461538461538461,0.65,0.6470588235294118,0.66,0.6534653465346535,0.0653193152638545,0.055597870842582706
0.8041666666666667,0.8348623853211009,0.7583333333333333,0.7947598253275109,0.695,0.7191011235955056,0.64,0.6772486772486772,0.665,0.6774193548387096,0.63,0.6528497409326425,0.05316452900892465,0.0593405766430346
