target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score
0.7083333333333334,0.711864406779661,0.7,0.7058823529411764,0.505,0.5050505050505051,0.5,0.5025125628140703,0.575,0.5728155339805825,0.59,0.5812807881773399,11.447360708589134
0.8041666666666667,0.8016528925619835,0.8083333333333333,0.8049792531120331,0.49,0.49056603773584906,0.52,0.5048543689320388,0.495,0.4948453608247423,0.48,0.4873096446700507,12.704412933362264
0.7708333333333334,0.7981651376146789,0.725,0.759825327510917,0.595,0.6172839506172839,0.5,0.5524861878453038,0.6,0.6086956521739131,0.56,0.5833333333333334,12.70074490597146
0.8166666666666667,0.8518518518518519,0.7666666666666667,0.8070175438596491,0.565,0.5714285714285714,0.52,0.5445026178010471,0.59,0.6022727272727273,0.53,0.5638297872340425,13.618816838537299
0.75,0.7631578947368421,0.725,0.7435897435897436,0.495,0.4945054945054945,0.45,0.47120418848167545,0.525,0.5280898876404494,0.47,0.4973544973544973,11.178692797911252
0.7583333333333333,0.7870370370370371,0.7083333333333334,0.7456140350877194,0.615,0.6116504854368932,0.63,0.6206896551724137,0.625,0.6344086021505376,0.59,0.6113989637305699,13.023481452219524
0.8291666666666667,0.8015267175572519,0.875,0.8366533864541833,0.565,0.5747126436781609,0.5,0.5347593582887701,0.605,0.6082474226804123,0.59,0.5989847715736041,14.865617933929524
0.7583333333333333,0.7818181818181819,0.7166666666666667,0.7478260869565218,0.59,0.6022727272727273,0.53,0.5638297872340425,0.565,0.5714285714285714,0.52,0.5445026178010471,12.960097968340987
0.775,0.8113207547169812,0.7166666666666667,0.7610619469026548,0.585,0.5955056179775281,0.53,0.5608465608465608,0.575,0.5842696629213483,0.52,0.5502645502645502,11.97311099199441
0.8333333333333334,0.8508771929824561,0.8083333333333333,0.829059829059829,0.62,0.6428571428571429,0.54,0.5869565217391305,0.58,0.5784313725490197,0.59,0.5841584158415842,9.030785857825652
0.6791666666666667,0.7087378640776699,0.6083333333333333,0.6547085201793722,0.53,0.5357142857142857,0.45,0.4891304347826087,0.535,0.5402298850574713,0.47,0.502673796791444,15.316583226924035
0.7916666666666666,0.8181818181818182,0.75,0.7826086956521738,0.565,0.5747126436781609,0.5,0.5347593582887701,0.565,0.5656565656565656,0.56,0.5628140703517588,11.092321818783425
0.7958333333333333,0.808695652173913,0.775,0.7914893617021276,0.59,0.6097560975609756,0.5,0.5494505494505494,0.6,0.6041666666666666,0.58,0.5918367346938774,8.520795098016062
0.7375,0.7663551401869159,0.6833333333333333,0.7224669603524229,0.51,0.5116279069767442,0.44,0.4731182795698925,0.495,0.49411764705882355,0.42,0.4540540540540541,12.737106843201925
0.7916666666666666,0.8070175438596491,0.7666666666666667,0.7863247863247863,0.505,0.5070422535211268,0.36,0.4210526315789474,0.555,0.5567010309278351,0.54,0.5482233502538071,10.01277263554859
0.8041666666666667,0.811965811965812,0.7916666666666666,0.8016877637130801,0.575,0.5862068965517241,0.51,0.5454545454545454,0.57,0.5729166666666666,0.55,0.5612244897959183,14.26041721842058
0.775,0.7844827586206896,0.7583333333333333,0.7711864406779662,0.61,0.625,0.55,0.5851063829787234,0.625,0.6373626373626373,0.58,0.6073298429319371,10.49736176383326
0.7625,0.794392523364486,0.7083333333333334,0.748898678414097,0.635,0.6551724137931034,0.57,0.6096256684491977,0.58,0.5869565217391305,0.54,0.5625000000000001,11.719477604211237
0.7833333333333333,0.7982456140350878,0.7583333333333333,0.7777777777777778,0.54,0.5425531914893617,0.51,0.5257731958762887,0.555,0.5578947368421052,0.53,0.5435897435897435,12.197594193914872
0.7916666666666666,0.7966101694915254,0.7833333333333333,0.7899159663865546,0.58,0.5952380952380952,0.5,0.5434782608695652,0.52,0.5196078431372549,0.53,0.5247524752475248,13.663368160976901
0.7916666666666666,0.8240740740740741,0.7416666666666667,0.780701754385965,0.51,0.5111111111111111,0.46,0.4842105263157895,0.535,0.5384615384615384,0.49,0.5130890052356021,14.093019706278506
