target_accuracy,target_f1,source_accuracy,source_f1,trans_source_accuracy,trans_source_f1
0.9291666666666667,0.9306122448979591,0.12,0.0736842105263158,0.23,0.23
0.9666666666666667,0.967479674796748,0.93,0.9313725490196078,0.935,0.9353233830845772
0.9416666666666667,0.943089430894309,0.08,0.051546391752577324,0.17,0.18627450980392157
0.9833333333333333,0.9833333333333333,0.905,0.9116279069767441,0.86,0.8599999999999999
0.9791666666666666,0.9790794979079498,0.06,0.04081632653061224,0.135,0.13930348258706468
0.9541666666666667,0.9551020408163265,0.87,0.8773584905660378,0.89,0.89
0.9666666666666667,0.9669421487603306,0.935,0.9371980676328503,0.93,0.9313725490196078
0.9541666666666667,0.9554655870445343,0.09,0.042105263157894736,0.16,0.16
0.975,0.9752066115702478,0.055,0.04060913705583757,0.145,0.1407035175879397
0.95,0.9508196721311476,0.945,0.9468599033816426,0.9,0.9019607843137256
0.9625,0.9629629629629629,0.885,0.892018779342723,0.855,0.8557213930348259
0.9541666666666667,0.9551020408163265,0.095,0.0621761658031088,0.2,0.2156862745098039
0.9625,0.9626556016597511,0.075,0.04145077720207255,0.16,0.15151515151515155
0.9541666666666667,0.9551020408163265,0.915,0.916256157635468,0.94,0.9428571428571428
0.95,0.950413223140496,0.95,0.9519230769230769,0.925,0.9282296650717704
0.9666666666666667,0.9666666666666667,0.075,0.04145077720207255,0.155,0.15075376884422112
0.9791666666666666,0.979253112033195,0.085,0.0213903743315508,0.105,0.12682926829268293
0.9666666666666667,0.9666666666666667,0.09,0.05208333333333333,0.165,0.15228426395939085
0.95,0.951219512195122,0.1,0.07216494845360825,0.095,0.1083743842364532
0.9583333333333334,0.9590163934426231,0.92,0.9223300970873787,0.95,0.9500000000000001
0.9416666666666667,0.943089430894309,0.93,0.93,0.925,0.9268292682926829
0.95,0.951219512195122,0.93,0.93,0.935,0.9359605911330049
0.9541666666666667,0.9551020408163265,0.94,0.9405940594059405,0.935,0.9371980676328503
0.9125,0.9142857142857143,0.925,0.9268292682926829,0.9,0.9029126213592233
0.9583333333333334,0.9590163934426231,0.08,0.0707070707070707,0.135,0.13930348258706468
0.9666666666666667,0.9672131147540983,0.13,0.06451612903225805,0.2,0.20000000000000004
0.9458333333333333,0.9473684210526315,0.905,0.9054726368159204,0.89,0.892156862745098
0.9625,0.9629629629629629,0.89,0.89,0.87,0.8712871287128714
0.9375,0.9392712550607287,0.945,0.9458128078817734,0.95,0.9509803921568627
0.975,0.975,0.94,0.94,0.91,0.9108910891089109
0.975,0.9752066115702478,0.93,0.9333333333333333,0.905,0.9064039408866995
0.9625,0.9629629629629629,0.905,0.9064039408866995,0.905,0.9073170731707316
0.95,0.951219512195122,0.93,0.9306930693069307,0.955,0.9560975609756097
0.9625,0.9632653061224489,0.94,0.9423076923076924,0.93,0.9320388349514563
0.9708333333333333,0.970954356846473,0.91,0.9150943396226415,0.9,0.9038461538461539
0.9583333333333334,0.9593495934959351,0.08,0.0707070707070707,0.135,0.13930348258706468
0.9416666666666667,0.943089430894309,0.88,0.8775510204081632,0.925,0.9268292682926829
0.9458333333333333,0.9469387755102041,0.085,0.061538461538461535,0.125,0.13793103448275862
0.9791666666666666,0.979253112033195,0.895,0.8995215311004784,0.885,0.8878048780487805
0.9666666666666667,0.9672131147540983,0.9,0.9038461538461539,0.905,0.9082125603864735
0.95,0.9508196721311476,0.92,0.9215686274509804,0.87,0.8737864077669903
0.9375,0.9382716049382716,0.105,0.011049723756906077,0.255,0.2731707317073171
0.95,0.9500000000000001,0.945,0.9452736318407959,0.94,0.9405940594059405
0.975,0.975,0.87,0.8761904761904761,0.87,0.8712871287128714
0.9458333333333333,0.9465020576131687,0.05,0.05000000000000001,0.11,0.11
0.95,0.9508196721311476,0.06,0.06930693069306931,0.08,0.11538461538461538
0.9625,0.9629629629629629,0.08,0.03157894736842106,0.15,0.16666666666666666
0.9666666666666667,0.9672131147540983,0.91,0.9108910891089109,0.905,0.9054726368159204
0.975,0.9752066115702478,0.065,0.0310880829015544,0.185,0.18905472636815923
0.9458333333333333,0.9469387755102041,0.91,0.912621359223301,0.85,0.8529411764705882
0.975,0.9752066115702478,0.115,0.04324324324324324,0.12,0.12
0.9541666666666667,0.9547325102880659,0.095,0.0621761658031088,0.16,0.16
0.9708333333333333,0.9714285714285714,0.915,0.9178743961352657,0.91,0.912621359223301
0.95,0.951219512195122,0.065,0.041025641025641026,0.125,0.13793103448275862
0.9208333333333333,0.9243027888446215,0.935,0.937799043062201,0.92,0.9238095238095237
0.9583333333333334,0.9586776859504132,0.9,0.9047619047619048,0.9,0.9029126213592233
0.9375,0.9397590361445783,0.945,0.9468599033816426,0.935,0.9365853658536586
0.9583333333333334,0.9583333333333334,0.945,0.9458128078817734,0.945,0.9463414634146342
0.9583333333333334,0.9586776859504132,0.905,0.9082125603864735,0.87,0.8725490196078431
0.9666666666666667,0.967479674796748,0.915,0.916256157635468,0.915,0.9170731707317075
0.9791666666666666,0.9794238683127573,0.935,0.9371980676328503,0.9,0.9029126213592233
