target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
637004.6406600798,974421.1056637375,990447.6355854751,1761574.771983257,905048.482526357,1668038.0418163468
483459.15702377696,757404.9387674385,710692.9411002775,981990.827369328,613647.4978080521,965742.7207633798
549130.5319783128,813267.106334939,670969.733278463,927883.7054966091,664107.9442553769,905092.7904787957
452351.6856690508,622913.4714770402,627916.6823588286,892796.086107693,580113.6002255919,824847.5522570478
1038399.0248084344,1735783.6228410525,1322189.921125196,1955498.2286818135,1068575.5613638489,1494040.9176182158
350776.02471035306,518848.9408031609,654333.3201980549,1221327.7182111188,551420.2701555662,1148697.1899861144
512756.642528489,858331.5387962915,568405.0126322723,780258.1130198019,510759.0162012199,694013.7799177923
487449.81550625624,752650.2299548329,673020.2496051125,1047841.5898424728,656636.3903049307,1040788.4371542776
576798.9675162353,1038940.6817616248,688181.7564684397,1183953.0732645548,695318.5280421154,1179672.3009441085
460220.6217768553,700823.7790215102,646705.1691924308,1249437.9481133777,642037.9138505583,1263355.5444763552
665998.041704147,1270310.0619115257,688918.3051519165,958546.6322809139,666212.7358477522,980857.1968980806
652625.5927982527,878726.1616657559,1014458.4652166814,1805865.0177764306,951398.7226363661,1744098.7153951367
709676.7493436264,1222691.2169599857,768488.0671512233,1256438.7895598453,756492.7333884424,1286770.105446889
397267.1880237061,510632.89111488475,697502.0766835302,1229639.903234961,663634.1585290964,1216791.3874969818
453236.2436313381,606371.9704373747,464130.8945884733,627019.4930091959,443219.4919852723,605532.3356195814
545770.4623529308,810221.6641963107,767148.5963917368,1149725.7459678082,726926.3362125929,1149594.7432521784
538740.4829010671,893215.9747885811,1011071.1201514872,1721526.3716350764,981028.6344264462,1820896.0584705316
620033.8929039031,870162.3316594999,1028501.4029488164,1417813.8169519026,854905.1232860375,1347960.2227870019
724519.2953244158,1155855.8458234416,754880.8856802187,938230.8794543071,695103.2965659022,919325.5937628142
618334.0567882566,1058787.159797234,803971.0618725985,1304158.6552090014,696038.1562243083,1169747.780990942
538566.9400669986,778258.0324433075,635867.9370290851,1260517.793916674,643895.1522209945,1294901.3498959595
457904.2644027345,763650.6022310642,644490.0255386871,1078279.8296823443,575075.1775419927,1053238.1458693726
406566.39028282504,562537.5630866503,544737.0444581654,1016755.393638597,521291.890311222,988106.5268724011
396071.11045455735,522702.70869944786,576689.135079434,1071665.4722907334,574266.3613663267,1079713.5633607255
551239.39246691,951692.1776088477,645501.8147237854,939093.0169256012,618468.4521179578,900174.5996132719
591474.0354287808,1159658.866154303,1042545.4880783786,1333589.048276373,815548.6891323444,1102842.2247838518
584694.2481542104,963379.4944147544,577868.7019163108,757235.315900412,540540.0526597205,732801.0730165408
455586.91142695706,694104.826567,613506.8578348449,807807.0960439256,537350.9440675364,741108.0574138309
581707.4043293906,1134209.6420687845,626964.3833899822,831329.4421552172,560830.2821610925,781852.0805809678
650786.1461013586,1029044.3592897765,1186672.3721917062,2060255.4554129704,1022657.7564699925,1917459.801038996
413783.3633152595,595587.3331882448,504026.0563504156,718820.9034258372,538803.3776120475,768317.1520379364
777713.5817919709,1267514.0487262562,774770.0328402729,994640.5798394149,720524.365310155,948714.5100360039
618553.3372735317,835459.325527499,696147.0744932359,878726.7251306619,645749.6464202176,809352.5878386308
456778.8525990454,606342.560740223,593220.7918423134,863058.2041035488,489509.53890003974,766841.8589890408
582201.7336898616,878814.2869964481,619141.7526601731,927911.2300881061,665600.0217641119,935962.4512518928
