source_mae,source_rmse,target_mae,target_rmse,trans_target_mae,trans_target_rmse
36463402.36558644,52521505.04997672,37463647.13915147,53148427.71622931,37033523.40415076,53023410.05728646
36511493.485370874,52564063.3494779,37514981.36606564,53187334.71223929,37079244.87397592,53025458.159908205
36499325.84728251,52524070.233180664,37423089.75765695,53090308.07773064,37014584.139386244,53015072.11459717
36496527.06762452,52536116.608096145,37480157.85042676,53121801.498494305,37175533.287791476,53108874.0402846
36492225.88572169,52597466.254639536,37312471.70664828,52945350.463841245,36964875.19382763,53017835.567649215
36472742.07819061,52528515.121479765,37327920.07312699,53047370.77831607,36956371.40699937,52992818.71871962
36508995.78989878,52538896.23810674,37492271.101322025,53182247.86851934,37182453.842883535,53142670.1382173
36508176.34669128,52548274.65578027,37349497.89737742,53091481.647754475,37081908.82246762,53004454.293801695
36451438.537620045,52483225.69463771,37455962.171155185,53132835.5025177,37074685.25734267,52999262.02890981
36503212.026083015,52534411.018321894,37524581.54769466,53173080.9016144,36935195.41145946,52856592.0439603
36503663.24408404,52574782.004508264,37345778.135965995,53034321.94842835,37097899.59750006,53095344.47435118
36482891.71124768,52539234.44646303,37504841.60215096,53187687.36738873,37069026.60903125,53116684.91758694
36483294.8086481,52566115.4656095,37396980.102016345,53036933.27694626,37003873.53761209,52980373.534529746
36490515.90222299,52536048.19446699,37456619.66037732,53126559.86766022,37011618.271772176,53008765.38480348
36500937.59686218,52524631.26532399,37475759.36519562,53136170.85136411,37186247.00216943,53019012.30678961
36533436.69851869,52597110.66199036,37456750.255832836,53093817.8394335,37014650.284527116,52950269.30696465
36488790.61153922,52531483.43227819,37424157.177122876,53179640.00409345,37150778.527808115,53158676.36185815
36510081.69217617,52553969.46222345,37335304.73356889,53095181.95306428,37144336.245341815,53095845.07363158
36502255.37039657,52606469.14900246,37328500.58604105,52977086.57158643,37096810.80511519,53074330.379324704
36496795.94430946,52537162.14527374,37521130.94253891,53206625.35202923,36993973.95926915,52984979.17771076
36487579.34177152,52530773.15819387,37342967.02740025,53051796.8048262,37085978.0050915,52984196.015146896
36474187.20409239,52545407.05697511,37442442.829910174,53106288.46092512,37105055.60767896,53129924.52913565
36500577.627367646,52553260.89611309,37427327.4942701,53137965.770003185,37004581.65255195,52943020.30999684
36458388.17292908,52475550.19791044,37461536.900625415,53145762.79118411,36982113.31646831,52962049.5251248
36487329.080837294,52522387.891777,37489093.49576111,53085455.87777778,37076557.35878244,52980237.950749785
36480873.62693085,52521535.321223006,37335925.361276,53013585.184039116,37162435.499656424,53076903.053735875
36515905.09280555,52556937.8204574,37388900.854182474,53094678.483620405,37149590.05945329,53063972.89545837
36508414.726931214,52533364.419414535,37493890.422672056,53127876.41486031,37014329.01028354,52946437.45050865
36499956.66468876,52554099.692739144,37439570.4435087,53086233.01209657,37071283.56882903,53057245.15031361
36490073.00312216,52524004.349505626,37459858.8454223,53061629.2035347,37009559.24566443,52926055.503035165
36487891.96209179,52533795.99398367,37467446.178752676,53097720.678178,37025989.15318991,52984954.5977383
36512378.02306883,52565938.30293683,37408400.19223566,53126354.469733946,37102700.36116534,53046816.891164176
36516254.61555046,52578321.22736879,37322915.88459373,53014284.30884239,37028640.369231336,53024335.099637814
36477506.99377182,52524116.059056014,37494421.81040577,53234171.92241425,37029821.47114034,52980753.452905715
36509162.62810174,52546863.24542901,37346354.59041978,53083196.31935391,37014368.87261285,52962161.56880816
36491247.8571117,52568265.92577096,37444764.10640303,53131245.114722386,37006578.98805063,52997077.486293934
36496480.508734584,52526043.11148326,37419029.11559564,53133281.441441394,37063464.328544386,53039210.06604465
36512919.39867892,52548905.52690045,37441522.46907508,53191145.22510133,36988974.06248116,53004033.52643095
36482670.60076941,52509899.03485963,37542723.42860614,53222015.53161887,37080290.37761278,53025204.49464853
36494445.69684352,52535368.32373817,37411776.48269908,53125575.95627667,37042371.921518624,53040843.20813553
36485793.85451763,52542570.66318281,37394728.17662285,53056074.58713188,37011946.718569845,53047242.74536657
36490178.9639414,52546922.58786698,37433092.51079016,53136665.09820917,37086454.94618444,53089686.72710391
36471250.098082736,52520335.835783035,37446958.0497636,53184811.97074689,37102744.476892896,53054099.25043358
36515114.77697816,52559710.27514517,37454269.58135541,53125878.33136384,37193965.60940227,53125225.093383364
36483980.686277814,52537181.224161,37429741.84129449,53116593.56679453,37096695.86017993,53138830.65543728
36504292.676236756,52538154.2583173,37549981.572085164,53196964.58432533,37145075.49668872,53039546.1090092
36493747.064615905,52533726.16890181,37342080.69335177,53059143.670707524,37092777.991952926,53076632.01831248
