target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,original_score
0.85,0.868421052631579,0.825,0.8461538461538461,0.57,0.5760869565217391,0.53,0.5520833333333334,0.61,0.6170212765957447,0.58,0.5979381443298969,0.05069792869536481,0.08152053506895696
0.85,0.8442622950819673,0.8583333333333333,0.8512396694214877,0.515,0.5168539325842697,0.46,0.4867724867724868,0.5,0.5,0.47,0.4845360824742268,0.09850388418207595,0.12262098249565953
0.7958333333333333,0.8141592920353983,0.7666666666666667,0.7896995708154507,0.41,0.4117647058823529,0.42,0.41584158415841577,0.48,0.4803921568627451,0.49,0.4851485148514851,0.08624962134866959,0.11083326158336756
0.8666666666666667,0.8728813559322034,0.8583333333333333,0.865546218487395,0.52,0.5217391304347826,0.48,0.4999999999999999,0.555,0.5567010309278351,0.54,0.5482233502538071,0.07839737510248193,0.09955783116305957
0.7958333333333333,0.7933884297520661,0.8,0.7966804979253113,0.455,0.4470588235294118,0.38,0.4108108108108108,0.475,0.47474747474747475,0.47,0.4723618090452262,0.08469607484667267,0.08810436209619339
0.8416666666666667,0.8203125,0.875,0.8467741935483871,0.47,0.4605263157894737,0.35,0.39772727272727265,0.475,0.4742268041237113,0.46,0.46700507614213194,0.08689889624643848,0.11374273801521319
0.8458333333333333,0.8487394957983193,0.8416666666666667,0.8451882845188284,0.59,0.6,0.54,0.5684210526315789,0.54,0.5408163265306123,0.53,0.5353535353535354,0.07992704170356328,0.09441163497506294
0.825,0.8421052631578947,0.8,0.8205128205128205,0.54,0.54,0.54,0.54,0.565,0.5684210526315789,0.54,0.5538461538461539,0.08703371621267438,0.1209167224437992
0.7833333333333333,0.788135593220339,0.775,0.7815126050420169,0.61,0.627906976744186,0.54,0.5806451612903226,0.54,0.5416666666666666,0.52,0.5306122448979592,0.05672996303271205,0.0661275282388872
0.8208333333333333,0.8290598290598291,0.8083333333333333,0.818565400843882,0.525,0.5242718446601942,0.54,0.5320197044334976,0.535,0.5321100917431193,0.58,0.5550239234449761,0.07751853804637233,0.09890313731288251
0.8291666666666667,0.8264462809917356,0.8333333333333334,0.8298755186721992,0.515,0.5154639175257731,0.5,0.5076142131979695,0.495,0.49473684210526314,0.47,0.482051282051282,0.0773761499057046,0.09655274800337592
0.8125,0.8205128205128205,0.8,0.810126582278481,0.5,0.5,0.48,0.4897959183673469,0.505,0.5048543689320388,0.52,0.5123152709359606,0.07004346091028876,0.07444383129065894
0.8291666666666667,0.8558558558558559,0.7916666666666666,0.8225108225108225,0.49,0.4880952380952381,0.41,0.44565217391304346,0.48,0.4791666666666667,0.46,0.46938775510204084,0.10064341274749368,0.10103381757509358
0.8375,0.8461538461538461,0.825,0.8354430379746836,0.45,0.4519230769230769,0.47,0.4607843137254902,0.47,0.46875,0.45,0.45918367346938777,0.13928055225817154,0.1266690988075125
0.775,0.7578125,0.8083333333333333,0.782258064516129,0.55,0.5531914893617021,0.52,0.536082474226804,0.505,0.5046728971962616,0.54,0.5217391304347827,0.05896892934542713,0.06068587664537924
0.7875,0.7674418604651163,0.825,0.7951807228915662,0.48,0.4791666666666667,0.46,0.46938775510204084,0.47,0.4727272727272727,0.52,0.49523809523809526,0.07361994563173378,0.09532834814552701
0.8083333333333333,0.8490566037735849,0.75,0.7964601769911505,0.415,0.41904761904761906,0.44,0.4292682926829269,0.47,0.46511627906976744,0.4,0.4301075268817204,0.08456494819682545,0.10301450021663487
0.8666666666666667,0.8728813559322034,0.8583333333333333,0.865546218487395,0.495,0.49504950495049505,0.5,0.4975124378109453,0.51,0.5102040816326531,0.5,0.5050505050505051,0.10026688515726435,0.10763064091452754
0.8291666666666667,0.8319327731092437,0.825,0.8284518828451883,0.46,0.46078431372549017,0.47,0.46534653465346537,0.49,0.49,0.49,0.49,0.0832068782684761,0.10679254885675538
0.8,0.7903225806451613,0.8166666666666667,0.8032786885245902,0.495,0.4948453608247423,0.48,0.4873096446700507,0.535,0.5384615384615384,0.49,0.5130890052356021,0.08821504519870105,0.12432368794326548
0.7833333333333333,0.7786885245901639,0.7916666666666666,0.7851239669421487,0.67,0.6847826086956522,0.63,0.6562500000000001,0.66,0.6509433962264151,0.69,0.6699029126213591,0.04023396005167734,0.07826750092270209
0.8,0.8103448275862069,0.7833333333333333,0.7966101694915254,0.495,0.4945054945054945,0.45,0.47120418848167545,0.615,0.6161616161616161,0.61,0.6130653266331657,0.054069659189263486,0.08613432128103489
0.8291666666666667,0.8376068376068376,0.8166666666666667,0.8270042194092827,0.44,0.44,0.44,0.44,0.505,0.5052631578947369,0.48,0.4923076923076923,0.08260218500835273,0.11197187565012809
0.8208333333333333,0.8130081300813008,0.8333333333333334,0.8230452674897119,0.575,0.5862068965517241,0.51,0.5454545454545454,0.55,0.55,0.55,0.55,0.08347270947216368,0.07407598298542906
0.8791666666666667,0.9026548672566371,0.85,0.8755364806866952,0.515,0.5132743362831859,0.58,0.5446009389671361,0.5,0.5,0.45,0.4736842105263158,0.10548124849842579,0.11801822950516187
0.8416666666666667,0.8727272727272727,0.8,0.8347826086956521,0.48,0.47959183673469385,0.47,0.47474747474747475,0.525,0.5268817204301075,0.49,0.5077720207253886,0.07625364546545697,0.11842643987355983
0.7958333333333333,0.808695652173913,0.775,0.7914893617021276,0.61,0.627906976744186,0.54,0.5806451612903226,0.565,0.5698924731182796,0.53,0.5492227979274611,0.07366900518011184,0.1004997132601977
0.7916666666666666,0.8070175438596491,0.7666666666666667,0.7863247863247863,0.52,0.524390243902439,0.43,0.47252747252747257,0.505,0.5054945054945055,0.46,0.4816753926701571,0.08400957537173216,0.1025659661344955
0.825,0.819672131147541,0.8333333333333334,0.8264462809917356,0.465,0.46601941747572817,0.48,0.4729064039408867,0.415,0.42342342342342343,0.47,0.44549763033175355,0.11827605193435961,0.11026318324691156
0.8291666666666667,0.8434782608695652,0.8083333333333333,0.8255319148936171,0.5,0.5,0.59,0.5412844036697249,0.54,0.54,0.54,0.54,0.0761431257449177,0.10833624605121835
0.8416666666666667,0.847457627118644,0.8333333333333334,0.8403361344537815,0.41,0.4166666666666667,0.45,0.43269230769230765,0.46,0.46078431372549017,0.47,0.46534653465346537,0.06898977863938353,0.1278414869075767
0.8625,0.865546218487395,0.8583333333333333,0.8619246861924686,0.55,0.5543478260869565,0.51,0.5312500000000001,0.57,0.5714285714285714,0.56,0.5656565656565656,0.09711908030570807,0.11045159838418606
0.8375,0.8461538461538461,0.825,0.8354430379746836,0.58,0.5833333333333334,0.56,0.5714285714285714,0.6,0.6041666666666666,0.58,0.5918367346938774,0.06742302235922246,0.07674021509515142
0.8083333333333333,0.8032786885245902,0.8166666666666667,0.8099173553719008,0.55,0.5480769230769231,0.57,0.5588235294117646,0.555,0.5514018691588785,0.59,0.5700483091787439,0.07223448582504677,0.07701719277120347
0.8208333333333333,0.808,0.8416666666666667,0.8244897959183675,0.505,0.5052631578947369,0.48,0.4923076923076923,0.485,0.4854368932038835,0.5,0.49261083743842365,0.1100184495292779,0.13314363505761498
0.8458333333333333,0.8487394957983193,0.8416666666666667,0.8451882845188284,0.495,0.49514563106796117,0.51,0.5024630541871922,0.485,0.48484848484848486,0.48,0.4824120603015075,0.08321674192518806,0.10499069877608433
0.7666666666666667,0.7622950819672131,0.775,0.768595041322314,0.57,0.5833333333333334,0.49,0.532608695652174,0.55,0.55,0.55,0.55,0.06208875665835896,0.0884004417727758
0.8666666666666667,0.8728813559322034,0.8583333333333333,0.865546218487395,0.5,0.5,0.5,0.5,0.53,0.5319148936170213,0.5,0.5154639175257731,0.10207525800753552,0.13174192186685213
0.7833333333333333,0.75,0.85,0.7968749999999999,0.485,0.4819277108433735,0.4,0.4371584699453552,0.59,0.59,0.59,0.59,0.06036379667623631,0.107072069629869
0.8458333333333333,0.8672566371681416,0.8166666666666667,0.8412017167381974,0.53,0.53125,0.51,0.5204081632653061,0.455,0.45544554455445546,0.46,0.4577114427860697,0.08127335577256699,0.09340405017760921
0.8666666666666667,0.8793103448275862,0.85,0.864406779661017,0.46,0.46153846153846156,0.48,0.47058823529411764,0.565,0.5698924731182796,0.53,0.5492227979274611,0.09159921302720031,0.11701174496794943
0.8416666666666667,0.8360655737704918,0.85,0.8429752066115703,0.6,0.6190476190476191,0.52,0.5652173913043478,0.56,0.5612244897959183,0.55,0.5555555555555555,0.07098184873412057,0.075911811835528
0.8416666666666667,0.853448275862069,0.825,0.8389830508474576,0.545,0.5483870967741935,0.51,0.5284974093264249,0.49,0.49,0.49,0.49,0.08952206010976824,0.08651341462393725
0.8583333333333333,0.8839285714285714,0.825,0.8534482758620688,0.415,0.4174757281553398,0.43,0.4236453201970444,0.47,0.4716981132075472,0.5,0.4854368932038835,0.0967968677977374,0.12880704901785298
0.7916666666666666,0.8017241379310345,0.775,0.788135593220339,0.555,0.5617977528089888,0.5,0.5291005291005291,0.475,0.47474747474747475,0.47,0.4723618090452262,0.08990226549421941,0.09481052678074182
0.7791666666666667,0.7863247863247863,0.7666666666666667,0.7763713080168777,0.525,0.5280898876404494,0.47,0.4973544973544973,0.51,0.5111111111111111,0.46,0.4842105263157895,0.06487761992875929,0.08471139158099508
0.8458333333333333,0.8608695652173913,0.825,0.8425531914893616,0.49,0.4909090909090909,0.54,0.5142857142857142,0.51,0.5104166666666666,0.49,0.4999999999999999,0.08542716227539907,0.09663936920161528
0.8208333333333333,0.8598130841121495,0.7666666666666667,0.8105726872246696,0.47,0.46808510638297873,0.44,0.4536082474226804,0.515,0.5157894736842106,0.49,0.5025641025641027,0.08237921464884879,0.10564306521221886
0.8541666666666666,0.8632478632478633,0.8416666666666667,0.8523206751054853,0.595,0.6021505376344086,0.56,0.5803108808290157,0.595,0.6043956043956044,0.55,0.5759162303664922,0.0692979298562368,0.06941840804111139
0.8166666666666667,0.8392857142857143,0.7833333333333333,0.8103448275862069,0.595,0.594059405940594,0.6,0.5970149253731343,0.555,0.5604395604395604,0.51,0.5340314136125655,0.06049677424363693,0.06476049206960154
0.8083333333333333,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.51,0.5113636363636364,0.45,0.4787234042553191,0.545,0.5436893203883495,0.56,0.5517241379310345,0.07889844345548366,0.10903306486436022
0.8291666666666667,0.8495575221238938,0.8,0.8240343347639485,0.52,0.5208333333333334,0.5,0.5102040816326531,0.435,0.43010752688172044,0.4,0.4145077720207254,0.08217233060352713,0.08428995922704745
