target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,w_dist
0.875,0.8947368421052632,0.85,0.8717948717948718,0.635,0.6551724137931034,0.57,0.6096256684491977,0.625,0.6288659793814433,0.61,0.6192893401015229,133.32710491674973,9.109501766234822e-09
0.8916666666666667,0.9051724137931034,0.875,0.8898305084745763,0.655,0.6666666666666666,0.62,0.6424870466321244,0.715,0.7128712871287128,0.72,0.7164179104477613,128.5614859901547,5.564735058889689e-06
0.9375,0.9487179487179487,0.925,0.9367088607594937,0.53,0.532608695652174,0.49,0.5104166666666666,0.585,0.5876288659793815,0.57,0.5786802030456853,170.24349535934977,2.3647929043973837e-07
0.8875,0.918918918918919,0.85,0.8831168831168831,0.735,0.7422680412371134,0.72,0.7309644670050761,0.675,0.6804123711340206,0.66,0.6700507614213199,102.69892180612969,7.975049289615104e-09
0.9458333333333333,0.9652173913043478,0.925,0.9446808510638298,0.605,0.6,0.63,0.6146341463414634,0.66,0.6666666666666666,0.64,0.6530612244897959,132.50446700447077,8.507935147607558e-09
0.9166666666666666,0.9464285714285714,0.8833333333333333,0.9137931034482758,0.595,0.6021505376344086,0.56,0.5803108808290157,0.655,0.6597938144329897,0.64,0.6497461928934011,130.87445358949708,9.365722840895702e-09
0.9,0.9210526315789473,0.875,0.8974358974358975,0.57,0.5714285714285714,0.56,0.5656565656565656,0.59,0.5918367346938775,0.58,0.5858585858585857,142.65843357800168,7.509073760667999e-09
0.925,0.9636363636363636,0.8833333333333333,0.9217391304347826,0.64,0.6346153846153846,0.66,0.6470588235294118,0.645,0.6526315789473685,0.62,0.635897435897436,122.56494776447279,0.0008350748886986506
0.9208333333333333,0.9391304347826087,0.9,0.9191489361702128,0.675,0.6966292134831461,0.62,0.656084656084656,0.61,0.61,0.61,0.61,116.35080340740167,7.875581892241904e-09
0.9291666666666667,0.9557522123893806,0.9,0.9270386266094421,0.595,0.6043956043956044,0.55,0.5759162303664922,0.675,0.6842105263157895,0.65,0.6666666666666667,145.17047157774758,5.443212281449859e-08
0.9,0.9137931034482759,0.8833333333333333,0.8983050847457628,0.595,0.5922330097087378,0.61,0.6009852216748768,0.6,0.6,0.6,0.6,164.9540744093219,9.30080966128174e-09
0.8916666666666667,0.9351851851851852,0.8416666666666667,0.8859649122807017,0.595,0.5922330097087378,0.61,0.6009852216748768,0.67,0.6847826086956522,0.63,0.6562500000000001,104.77869015425638,9.837079257628738e-09
0.9166666666666666,0.9716981132075472,0.8583333333333333,0.911504424778761,0.61,0.6078431372549019,0.62,0.6138613861386139,0.63,0.6354166666666666,0.61,0.6224489795918368,132.09977786205098,8.566105140432765e-09
0.9041666666666667,0.9292035398230089,0.875,0.9012875536480688,0.675,0.6966292134831461,0.62,0.656084656084656,0.665,0.6774193548387096,0.63,0.6528497409326425,106.10651130938362,7.903079830784442e-09
0.925,0.9553571428571429,0.8916666666666667,0.9224137931034484,0.6,0.6,0.6,0.6,0.615,0.6210526315789474,0.59,0.6051282051282052,150.0620186937931,9.733584764234383e-09
0.9166666666666666,0.9464285714285714,0.8833333333333333,0.9137931034482758,0.69,0.7065217391304348,0.65,0.6770833333333333,0.67,0.6888888888888889,0.62,0.6526315789473685,102.65286377795351,8.142274702993505e-09
0.875,0.8947368421052632,0.85,0.8717948717948718,0.64,0.6372549019607843,0.65,0.6435643564356436,0.65,0.6530612244897959,0.64,0.6464646464646464,119.53852915598902,9.34292161565911e-09
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.615,0.6161616161616161,0.61,0.6130653266331657,0.64,0.6428571428571429,0.63,0.6363636363636364,143.54160364225436,9.49861890404134e-09
0.9,0.9363636363636364,0.8583333333333333,0.8956521739130435,0.695,0.6756756756756757,0.75,0.7109004739336493,0.73,0.73,0.73,0.7299999999999999,97.68804228910852,9.079374248491908e-09
0.9333333333333333,0.9727272727272728,0.8916666666666667,0.9304347826086957,0.595,0.5979381443298969,0.58,0.5888324873096447,0.625,0.6262626262626263,0.62,0.6231155778894472,128.29563679734852,9.225050216556224e-09
0.9166666666666666,0.9464285714285714,0.8833333333333333,0.9137931034482758,0.58,0.5833333333333334,0.56,0.5714285714285714,0.635,0.6421052631578947,0.61,0.6256410256410256,136.13309327807895,1.8391964140862267e-06
0.9041666666666667,0.9217391304347826,0.8833333333333333,0.902127659574468,0.67,0.673469387755102,0.66,0.6666666666666666,0.63,0.63,0.63,0.63,119.95266000485945,2.3086327647542313e-08
0.8875,0.9043478260869565,0.8666666666666667,0.8851063829787233,0.6,0.6111111111111112,0.55,0.5789473684210527,0.655,0.6666666666666666,0.62,0.6424870466321244,144.5260255715716,9.70171260480592e-09
0.9083333333333333,0.9224137931034483,0.8916666666666667,0.9067796610169492,0.55,0.5555555555555556,0.5,0.5263157894736842,0.64,0.6458333333333334,0.62,0.6326530612244898,152.16866432995778,8.127312851277288e-09
0.9291666666666667,0.9724770642201835,0.8833333333333333,0.925764192139738,0.645,0.6593406593406593,0.6,0.6282722513089005,0.655,0.6631578947368421,0.63,0.6461538461538461,129.93298851056963,7.87423316361279e-09
0.9041666666666667,0.9217391304347826,0.8833333333333333,0.902127659574468,0.595,0.6,0.57,0.5846153846153846,0.6,0.6063829787234043,0.57,0.5876288659793814,135.1454199934951,3.067799737579422e-07
0.9333333333333333,0.9642857142857143,0.9,0.9310344827586207,0.68,0.6764705882352942,0.69,0.6831683168316831,0.635,0.6285714285714286,0.66,0.6439024390243901,115.75426144242215,7.795520573704218e-09
0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.7,0.6886792452830188,0.73,0.7087378640776699,0.69,0.69,0.69,0.69,109.98440174774613,9.48137268097113e-09
0.9375,0.9646017699115044,0.9083333333333333,0.9356223175965666,0.63,0.6203703703703703,0.67,0.6442307692307693,0.65,0.6666666666666666,0.6,0.631578947368421,115.78199414556344,7.905398587779162e-09
0.9208333333333333,0.954954954954955,0.8833333333333333,0.9177489177489178,0.59,0.5882352941176471,0.6,0.5940594059405941,0.595,0.6,0.57,0.5846153846153846,125.82732654001151,9.654987095684321e-09
0.925,0.9396551724137931,0.9083333333333333,0.9237288135593221,0.585,0.5825242718446602,0.6,0.5911330049261084,0.58,0.5851063829787234,0.55,0.5670103092783506,149.77164632759204,8.983668215635753e-09
0.9041666666666667,0.9292035398230089,0.875,0.9012875536480688,0.58,0.58,0.58,0.58,0.595,0.6021505376344086,0.56,0.5803108808290157,145.15204576426174,8.270362404129448e-09
0.9375,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.57,0.5686274509803921,0.58,0.5742574257425743,0.615,0.6116504854368932,0.63,0.6206896551724137,155.85491774569527,9.72120803554848e-09
0.8791666666666667,0.9174311926605505,0.8333333333333334,0.8733624454148473,0.59,0.59,0.59,0.59,0.615,0.6185567010309279,0.6,0.6091370558375634,149.07399294450278,9.821312443238398e-09
0.8958333333333334,0.9203539823008849,0.8666666666666667,0.8927038626609441,0.625,0.6344086021505376,0.59,0.6113989637305699,0.625,0.6237623762376238,0.63,0.6268656716417911,115.57972010489172,9.759713208676717e-09
0.9208333333333333,0.9469026548672567,0.8916666666666667,0.9184549356223176,0.655,0.6666666666666666,0.62,0.6424870466321244,0.62,0.6224489795918368,0.61,0.6161616161616161,133.8831779085656,9.273472663947288e-09
0.9291666666666667,0.9478260869565217,0.9083333333333333,0.9276595744680851,0.645,0.6593406593406593,0.6,0.6282722513089005,0.64,0.6458333333333334,0.62,0.6326530612244898,139.08171731246762,7.93208134070149e-09
0.9166666666666666,0.9545454545454546,0.875,0.9130434782608695,0.615,0.6236559139784946,0.58,0.6010362694300518,0.615,0.6236559139784946,0.58,0.6010362694300518,128.92405601466993,9.361235335598933e-09
0.9166666666666666,0.9385964912280702,0.8916666666666667,0.9145299145299146,0.605,0.6105263157894737,0.58,0.5948717948717949,0.62,0.6276595744680851,0.59,0.6082474226804124,149.27596558209987,9.700358413760815e-09
0.9333333333333333,0.9642857142857143,0.9,0.9310344827586207,0.51,0.5086206896551724,0.59,0.5462962962962962,0.665,0.6633663366336634,0.67,0.6666666666666667,141.19971809956644,8.481403787864527e-09
0.9,0.9210526315789473,0.875,0.8974358974358975,0.545,0.5436893203883495,0.56,0.5517241379310345,0.615,0.6161616161616161,0.61,0.6130653266331657,152.03558794754903,6.157049384206783e-06
0.8875,0.9345794392523364,0.8333333333333334,0.8810572687224669,0.64,0.6521739130434783,0.6,0.6250000000000001,0.7,0.7127659574468085,0.67,0.6907216494845361,116.18952923259259,3.2255967070083264e-07
0.9458333333333333,0.9652173913043478,0.925,0.9446808510638298,0.565,0.5596330275229358,0.61,0.583732057416268,0.59,0.5957446808510638,0.56,0.577319587628866,138.33418048765117,9.63326460036359e-09
